Algorithm,Data Size (MB),Iterations,CPU (%),Peak Memory (KB)
md5,1,10,1.8,120.37890625
md5,2,10,5.1,130.37890625
md5,4,10,7.1,150.37890625
md5,8,10,4.9,190.37890625
md5,16,10,4.7,270.37890625
md5,32,10,5.6,430.37890625
sha1,1,10,9.1,120.37890625
sha1,2,10,8.7,130.37890625
sha1,4,10,5.0,150.37890625
sha1,8,10,4.3,190.37890625
sha1,16,10,5.8,270.37890625
sha1,32,10,5.9,430.37890625
sha256,1,10,7.1,120.37890625
sha256,2,10,11.5,130.37890625
sha256,4,10,4.9,150.37890625
sha256,8,10,4.7,190.37890625
sha256,16,10,7.9,270.37890625
sha256,32,10,6.6,430.37890625
sha3_256,1,10,4.2,120.37890625
sha3_256,2,10,9.1,130.37890625
sha3_256,4,10,4.6,150.37890625
sha3_256,8,10,5.2,190.37890625
sha3_256,16,10,5.7,270.37890625
sha3_256,32,10,6.0,430.37890625
blake2s,1,10,7.3,120.38671875
blake2s,2,10,3.8,130.38671875
blake2s,4,10,5.5,150.38671875
blake2s,8,10,5.2,190.38671875
blake2s,16,10,5.3,270.38671875
blake2s,32,10,3.2,430.38671875
blake2b,1,10,5.3,120.38671875
blake2b,2,10,2.1,130.38671875
blake2b,4,10,2.8,150.38671875
blake2b,8,10,2.8,190.38671875
blake2b,16,10,4.0,270.38671875
blake2b,32,10,2.8,430.38671875
