Algorithm,Data Size (MB),Iterations,Total Time (ms),Avg Time (ms),Speed (MBps)
blake3,1,5,2.3190975189208984,0.4638195037841797,10780.055515575203
blake3,2,5,13.402462005615234,2.680492401123047,3730.657843241897
blake3,4,5,51.7582893371582,10.35165786743164,1932.0576719332996
blake2s,1,5,52.38461494445801,10.476922988891602,477.2393579013003
blake3,8,5,150.57039260864258,30.114078521728516,1328.282383641206
blake2s,2,5,115.17047882080078,23.034095764160156,434.1390303481969
blake3,16,5,316.2050247192383,63.241004943847656,1265.0020357999185
blake3,32,5,447.1745491027832,89.43490982055664,1789.0105812263473
blake2s,4,5,297.23644256591797,59.447288513183594,336.43250180476457
blake2s,8,5,484.1296672821045,96.8259334564209,413.11246452380516
blake3,64,5,1048.7534999847412,209.75069999694824,1525.6206534931985
blake2s,16,5,835.6978893280029,167.1395778656006,478.6418693980978
blake3,128,5,2137.9637718200684,427.5927543640137,1496.7512743566326
blake2b,1,5,39.710044860839844,7.942008972167969,629.5636302504863
blake2b,2,5,89.68234062194824,17.93646812438965,557.523361380282
blake2s,32,5,1765.7268047332764,353.1453609466553,453.0712213551319
blake2b,4,5,168.14064979553223,33.628129959106445,594.7401780688085
blake2b,8,5,304.2452335357666,60.84904670715332,657.3644480004263
blake2b,16,5,653.6035537719727,130.72071075439453,611.9917765005771
blake3,200,5,3491.292715072632,698.2585430145264,1432.1342860809027
blake2b,32,5,1313.2119178771973,262.64238357543945,609.1933747396973
blake2s,64,5,3394.7651386260986,678.9530277252197,471.3139008631209
blake2b,64,5,2511.546850204468,502.30937004089355,637.0575965444333
sha256,1,5,84.20419692993164,16.840839385986328,296.8973152348108
sha256,2,5,178.8046360015869,35.76092720031738,279.63480767666584
sha256,4,5,381.78563117980957,76.35712623596191,261.92709162724617
sha256,8,5,644.005298614502,128.8010597229004,310.55645105758504
blake2s,128,5,7028.761386871338,1405.7522773742676,455.27224839032317
blake3,512,5,8002.248287200928,1600.4496574401855,1599.5504688941935
sha256,16,5,1408.9550971984863,281.79101943969727,283.89833061063837
blake2b,128,5,5189.255952835083,1037.8511905670166,616.6587327903379
sha256,32,5,2455.317497253418,491.0634994506836,325.8234427502353
blake2b,200,5,7975.227117538452,1595.0454235076904,626.9413931804422
blake2s,200,5,11246.38843536377,2249.277687072754,444.58716935987394
sha256,64,5,4667.478084564209,933.4956169128418,342.79753884466027
sha256,128,5,7065.2782917022705,1413.055658340454,452.9191728736575
sha256,200,5,9309.581756591797,1861.9163513183594,537.0810559195821
blake2b,512,5,14150.58946609497,2830.117893218994,904.555957239025
blake2s,512,5,17066.27869606018,3413.255739212036,750.0170498771317
sha256,512,5,11784.01780128479,2356.803560256958,1086.2169606196996
