Algorithm,Data Size (MB),Timing (ms)
blake3,1,0.3826618194580078
blake3,1,0.8013248443603516
blake3,1,0.36454200744628906
blake3,1,0.37288665771484375
blake3,1,0.39768218994140625
blake3,2,3.5190582275390625
blake3,2,2.4716854095458984
blake3,2,2.3071765899658203
blake3,2,3.204345703125
blake3,2,1.9001960754394531
blake3,4,6.99615478515625
blake3,4,7.489919662475586
blake3,4,4.904747009277344
blake3,4,4.105091094970703
blake3,4,28.26237678527832
blake2s,1,4.427671432495117
blake2s,1,8.12673568725586
blake2s,1,3.006458282470703
blake2s,1,17.35687255859375
blake2s,1,19.466876983642578
blake3,8,32.07731246948242
blake3,8,30.62152862548828
blake3,8,50.68182945251465
blake3,8,15.929222106933594
blake3,8,21.260499954223633
blake2s,2,14.549970626831055
blake2s,2,29.751062393188477
blake2s,2,43.385982513427734
blake2s,2,18.12148094177246
blake2s,2,9.361982345581055
blake3,16,76.04098320007324
blake3,16,58.19106101989746
blake3,16,36.34238243103027
blake3,16,84.31243896484375
blake3,16,61.318159103393555
blake3,32,66.18523597717285
blake3,32,71.9454288482666
blake3,32,119.17471885681152
blake3,32,132.63750076293945
blake3,32,57.23166465759277
blake2s,4,88.21296691894531
blake2s,4,44.44718360900879
blake2s,4,14.825105667114258
blake2s,4,106.64653778076172
blake2s,4,43.10464859008789
blake2s,8,96.29988670349121
blake2s,8,123.72136116027832
blake2s,8,59.26251411437988
blake2s,8,93.67036819458008
blake2s,8,111.175537109375
blake3,64,218.9192771911621
blake3,64,233.29591751098633
blake3,64,204.3602466583252
blake3,64,173.28333854675293
blake3,64,218.89472007751465
blake2s,16,169.95930671691895
blake2s,16,218.01400184631348
blake2s,16,122.28035926818848
blake2s,16,177.1986484527588
blake2s,16,148.24557304382324
blake3,128,356.0640811920166
blake3,128,486.2101078033447
blake3,128,455.42097091674805
blake3,128,401.11398696899414
blake3,128,439.15462493896484
blake2b,1,16.446828842163086
blake2b,1,2.3598670959472656
blake2b,1,1.7485618591308594
blake2b,1,17.096757888793945
blake2b,1,2.0580291748046875
blake2b,2,34.481048583984375
blake2b,2,10.008811950683594
blake2b,2,25.274038314819336
blake2b,2,3.276824951171875
blake2b,2,16.641616821289062
blake2s,32,305.5992126464844
blake2s,32,360.12959480285645
blake2s,32,356.3499450683594
blake2s,32,356.3494682312012
blake2s,32,387.298583984375
blake2b,4,38.00225257873535
blake2b,4,20.246505737304688
blake2b,4,23.273706436157227
blake2b,4,21.912097930908203
blake2b,4,64.70608711242676
blake2b,8,81.16745948791504
blake2b,8,51.22494697570801
blake2b,8,42.37627983093262
blake2b,8,73.9591121673584
blake2b,8,55.51743507385254
blake2b,16,118.44468116760254
blake2b,16,179.55255508422852
blake2b,16,128.50046157836914
blake2b,16,101.98521614074707
blake2b,16,125.12063980102539
blake3,200,591.3844108581543
blake3,200,747.6809024810791
blake3,200,673.072099685669
blake3,200,788.2914543151855
blake3,200,690.863847732544
blake2b,32,311.2373352050781
