Algorithm,Data Size (MB),Iterations,Total Time (ms),Avg Time (ms),Speed (MBps)
md5,1,5,9.375572204589844,1.8751144409179688,2666.503916183501
md5,2,5,20.092248916625977,4.018449783325195,2488.52182786895
md5,4,5,39.768218994140625,7.953643798828125,2514.5707434052756
md5,8,5,81.35199546813965,16.27039909362793,2458.4522954735285
md5,16,5,162.77623176574707,32.555246353149414,2457.3612232014566
md5,32,5,324.9638080596924,64.99276161193848,2461.81260853839
md5,64,5,650.0840187072754,130.01680374145508,2461.220325307612
md5,128,5,1295.2015399932861,259.0403079986572,2470.6579641779826
md5,200,5,2045.0167655944824,409.0033531188965,2444.9677303973153
md5,512,5,5196.332693099976,1039.2665386199951,2463.275689987414
sha1,1,5,8.846044540405273,1.7692089080810547,2826.121876937175
sha1,2,5,19.01984214782715,3.8039684295654297,2628.8335944844875
sha1,4,5,34.16109085083008,6.832218170166016,2927.3069890146703
sha1,8,5,72.89934158325195,14.57986831665039,2743.509003734931
sha1,16,5,146.4850902557373,29.29701805114746,2730.653333398437
sha1,32,5,285.5086326599121,57.10172653198242,2802.0168516338067
sha1,64,5,586.8587493896484,117.37174987792969,2726.380072997208
sha1,128,5,1160.567045211792,232.1134090423584,2757.272846237015
sha1,200,5,1837.0640277862549,367.412805557251,2721.7342043462827
sha1,512,5,4651.108026504517,930.2216053009033,2752.0324032593335
sha256,1,5,16.98470115661621,3.396940231323242,1471.9128567217394
sha256,2,5,36.88406944274902,7.376813888549805,1355.5987925250317
sha256,4,5,76.10583305358887,15.221166610717773,1313.959731964124
sha256,8,5,146.38972282409668,29.277944564819336,1366.2161259798404
sha256,16,5,295.9866523742676,59.197330474853516,1351.4122910319963
sha256,32,5,580.333948135376,116.0667896270752,1378.5166326567921
sha256,64,5,1181.2775135040283,236.25550270080566,1354.4658064758326
sha256,128,5,2361.375570297241,472.27511405944824,1355.1423332448535
sha256,200,5,3667.0238971710205,733.4047794342041,1363.5035222588333
sha256,512,5,9331.819295883179,1866.3638591766357,1371.6510783322651
sha512,1,5,12.326717376708984,2.465343475341797,2028.1149665390121
sha512,2,5,22.623300552368164,4.524660110473633,2210.110760994425
sha512,4,5,46.36669158935547,9.273338317871094,2156.720623624509
sha512,8,5,93.10531616210938,18.621063232421875,2148.1050518293932
sha512,16,5,194.86761093139648,38.9735221862793,2052.675650346125
sha512,32,5,388.6573314666748,77.73146629333496,2058.368478425565
sha512,64,5,797.2333431243896,159.44666862487793,2006.940645168622
sha512,128,5,1559.4255924224854,311.88511848449707,2052.0376320289633
sha512,200,5,2467.128038406372,493.4256076812744,2026.6479575294854
sha512,512,5,6270.819187164307,1254.1638374328613,2041.200617967143
sha3_256,1,5,17.39811897277832,3.479623794555664,1436.9369492826113
sha3_256,2,5,35.18342971801758,7.036685943603516,1421.123534593752
sha3_256,4,5,70.26863098144531,14.053726196289062,1423.1101218750848
sha3_256,8,5,141.42298698425293,28.284597396850586,1414.1972550917021
sha3_256,16,5,277.3633003234863,55.472660064697266,1442.151861956804
sha3_256,32,5,554.9788475036621,110.99576950073242,1441.496380625067
sha3_256,64,5,1114.647388458252,222.9294776916504,1435.4315244151549
sha3_256,128,5,2222.283363342285,444.45667266845703,1439.960381644239
sha3_256,200,5,3490.6058311462402,698.121166229248,1432.4161024959117
sha3_256,512,5,8897.175788879395,1779.435157775879,1438.6587725959912
blake2s,1,5,13.234853744506836,2.646970748901367,1888.9517392949144
blake2s,2,5,25.69890022277832,5.139780044555664,1945.6085500375734
blake2s,4,5,53.31707000732422,10.663414001464844,1875.571931958431
blake2s,8,5,106.29415512084961,21.258831024169922,1881.571002400018
blake2s,16,5,213.12570571899414,42.62514114379883,1876.8266298547735
blake2s,32,5,424.9100685119629,84.98201370239258,1882.7513379515901
blake2s,64,5,850.3305912017822,170.06611824035645,1881.621120720473
blake2s,128,5,1700.7482051849365,340.1496410369873,1881.5248431510397
blake2s,200,5,2665.7073497772217,533.1414699554443,1875.6747624295142
blake2s,512,5,6800.632476806641,1360.1264953613281,1882.1778773744984
blake2b,1,5,9.250164031982422,1.8500328063964844,2702.6547760193826
blake2b,2,5,19.0889835357666,3.8177967071533203,2619.3118091550614
blake2b,4,5,35.77780723571777,7.155561447143555,2795.028754589739
blake2b,8,5,71.502685546875,14.300537109375,2797.097737942808
blake2b,16,5,143.25189590454102,28.650379180908203,2792.284161227078
blake2b,32,5,286.2205505371094,57.244110107421875,2795.0473804160947
blake2b,64,5,572.7524757385254,114.55049514770508,2793.5278637371384
blake2b,128,5,1145.4026699066162,229.08053398132324,2793.7773187318426
blake2b,200,5,1800.137996673584,360.0275993347168,2777.5648362732945
blake2b,512,5,4579.224586486816,915.8449172973633,2795.2330701954425
blake3,1,5,1.8112659454345703,0.36225318908691406,13802.500987231802
blake3,2,5,4.534244537353516,0.9068489074707031,11027.195288673887
blake3,4,5,9.153604507446289,1.8307209014892578,10924.658140806918
blake3,8,5,23.03004264831543,4.606008529663086,8684.308711631036
blake3,16,5,41.84675216674805,8.36935043334961,9558.686858327921
blake3,32,5,89.88404273986816,17.976808547973633,8900.356232476837
blake3,64,5,174.1178035736084,34.82356071472168,9189.180929011656
blake3,128,5,351.02367401123047,70.2047348022461,9116.194253888474
blake3,200,5,578.6924362182617,115.73848724365234,8640.168225931646
blake3,512,5,1428.1423091888428,285.62846183776855,8962.69224547388
