Algorithm,Data Size (MB),Timing (ms)
md5,1,1.7926692962646484
md5,1,1.5420913696289062
md5,1,2.513408660888672
md5,1,1.977682113647461
md5,1,1.5497207641601562
md5,2,4.535436630249023
md5,2,3.9975643157958984
md5,2,3.4902095794677734
md5,2,4.06646728515625
md5,2,4.002571105957031
md5,4,8.241415023803711
md5,4,7.997035980224609
md5,4,7.587671279907227
md5,4,8.401870727539062
md5,4,7.540225982666016
md5,8,16.045570373535156
md5,8,16.402006149291992
md5,8,16.45374298095703
md5,8,16.167640686035156
md5,8,16.283035278320312
md5,16,33.7221622467041
md5,16,32.00864791870117
md5,16,32.885074615478516
md5,16,31.84032440185547
md5,16,32.32002258300781
md5,32,66.64490699768066
md5,32,64.22185897827148
md5,32,64.56327438354492
md5,32,64.76402282714844
md5,32,64.76974487304688
md5,64,131.99472427368164
md5,64,129.83942031860352
md5,64,129.2741298675537
md5,64,129.35304641723633
md5,64,129.6226978302002
md5,128,263.8871669769287
md5,128,258.2399845123291
md5,128,258.620023727417
md5,128,256.71887397766113
md5,128,257.7354907989502
md5,200,415.4846668243408
md5,200,408.53142738342285
md5,200,407.6342582702637
md5,200,404.4358730316162
md5,200,408.93054008483887
md5,512,1055.3252696990967
md5,512,1033.8244438171387
md5,512,1032.6237678527832
md5,512,1037.2323989868164
md5,512,1037.3268127441406
sha1,1,2.2890567779541016
sha1,1,1.2598037719726562
sha1,1,1.2695789337158203
sha1,1,2.5899410247802734
sha1,1,1.4376640319824219
sha1,2,3.595590591430664
sha1,2,3.4041404724121094
sha1,2,2.519845962524414
sha1,2,4.265546798706055
sha1,2,5.234718322753906
sha1,4,6.391763687133789
sha1,4,6.230592727661133
sha1,4,8.595466613769531
sha1,4,6.652355194091797
sha1,4,6.290912628173828
sha1,8,12.542247772216797
sha1,8,15.21158218383789
sha1,8,13.438701629638672
sha1,8,16.65329933166504
sha1,8,15.053510665893555
sha1,16,32.66000747680664
sha1,16,27.428627014160156
sha1,16,29.054641723632812
sha1,16,28.748512268066406
sha1,16,28.59330177307129
sha1,32,54.04806137084961
sha1,32,55.99260330200195
sha1,32,59.682369232177734
sha1,32,54.66580390930176
sha1,32,61.119794845581055
sha1,64,118.34549903869629
sha1,64,120.61524391174316
sha1,64,115.47040939331055
sha1,64,115.4470443725586
sha1,64,116.98055267333984
sha1,128,232.69891738891602
sha1,128,231.68301582336426
sha1,128,225.9378433227539
sha1,128,231.51135444641113
sha1,128,238.73591423034668
sha1,200,356.5409183502197
sha1,200,370.5132007598877
sha1,200,375.00667572021484
sha1,200,374.0227222442627
sha1,200,360.9805107116699
sha1,512,922.5466251373291
sha1,512,949.36203956604
sha1,512,912.2562408447266
sha1,512,921.6740131378174
sha1,512,945.2691078186035
sha256,1,3.936290740966797
sha256,1,2.6521682739257812
sha256,1,3.765583038330078
sha256,1,2.608776092529297
sha256,1,4.021883010864258
sha256,2,6.152153015136719
sha256,2,9.526491165161133
sha256,2,6.602764129638672
sha256,2,6.078481674194336
sha256,2,8.524179458618164
sha256,4,15.902519226074219
sha256,4,14.42861557006836
sha256,4,16.36672019958496
sha256,4,16.249418258666992
sha256,4,13.158559799194336
sha256,8,28.261184692382812
sha256,8,29.292583465576172
sha256,8,27.117252349853516
sha256,8,31.585693359375
sha256,8,30.13300895690918
sha256,16,57.30128288269043
sha256,16,59.86952781677246
sha256,16,59.50927734375
sha256,16,58.362483978271484
sha256,16,60.9440803527832
sha256,32,115.21244049072266
sha256,32,115.76223373413086
sha256,32,117.57946014404297
sha256,32,115.70048332214355
sha256,32,116.07933044433594
sha256,64,233.78896713256836
sha256,64,238.13176155090332
sha256,64,239.65978622436523
sha256,64,233.68501663208008
sha256,64,236.01198196411133
sha256,128,480.055570602417
sha256,128,464.85137939453125
sha256,128,473.03318977355957
sha256,128,477.733850479126
sha256,128,465.7015800476074
sha256,200,750.2505779266357
sha256,200,730.3991317749023
sha256,200,731.7585945129395
sha256,200,727.2241115570068
sha256,200,727.3914813995361
sha256,512,1880.5091381072998
sha256,512,1849.3449687957764
sha256,512,1863.002061843872
sha256,512,1878.1359195709229
sha256,512,1860.8272075653076
sha512,1,1.7516613006591797
sha512,1,3.8514137268066406
sha512,1,1.7781257629394531
sha512,1,2.798795700073242
sha512,1,2.1467208862304688
sha512,2,4.52876091003418
sha512,2,3.8123130798339844
