Algorithm,Data Size (MB),Average_CPU_Usage,Peak_Memory
blake2b,1,20.0,124.125
blake2b,2,40.0,124.125
blake2b,4,43.339999999999996,124.125
blake2b,8,53.339999999999996,124.125
blake2b,16,50.0,124.125
blake2b,32,50.0,124.125
blake2b,64,50.38,124.125
blake2b,128,51.220000000000006,124.125
blake2b,200,50.7,124.125
blake2b,512,51.02,124.125
blake2s,1,10.0,124.125
blake2s,2,40.0,124.125
blake2s,4,53.339999999999996,124.125
blake2s,8,50.0,124.125
blake2s,16,49.78,124.125
blake2s,32,50.519999999999996,124.125
blake2s,64,51.0,124.125
blake2s,128,51.760000000000005,124.125
blake2s,200,51.279999999999994,124.125
blake2s,512,51.339999999999996,124.125
blake3,1,0.0,124.125
blake3,2,40.0,124.125
blake3,4,20.0,124.125
blake3,8,60.0,124.125
blake3,16,50.0,124.125
blake3,32,50.0,124.125
blake3,64,50.9,124.125
blake3,128,52.36,124.125
blake3,200,50.660000000000004,124.125
blake3,512,51.7,124.125
md5,1,33.28,123.87109375
md5,2,44.0,123.87109375
md5,4,40.0,123.87109375
md5,8,46.660000000000004,123.87109375
md5,16,46.8,123.87109375
md5,32,44.1,123.87109375
md5,64,50.96,123.87109375
md5,128,45.42,123.87109375
md5,200,43.739999999999995,123.87109375
md5,512,46.9,123.80859375
sha1,1,0.0,123.80859375
sha1,2,40.0,123.80859375
sha1,4,50.0,123.80859375
sha1,8,53.339999999999996,123.80859375
sha1,16,49.7,123.80859375
sha1,32,52.739999999999995,123.80859375
sha1,64,51.0,123.80859375
sha1,128,51.660000000000004,123.80859375
sha1,200,53.779999999999994,123.80859375
sha1,512,51.239999999999995,123.80859375
sha256,1,20.0,123.80859375
sha256,2,50.0,123.80859375
sha256,4,46.660000000000004,123.80859375
sha256,8,50.0,123.80859375
sha256,16,51.42,123.80859375
sha256,32,50.38,123.80859375
sha256,64,50.36,123.80859375
sha256,128,51.06,123.80859375
sha256,200,50.9,123.80859375
sha256,512,51.379999999999995,123.80859375
sha3_256,1,30.0,123.80859375
sha3_256,2,40.0,123.80859375
sha3_256,4,50.0,123.80859375
sha3_256,8,50.0,123.80859375
sha3_256,16,52.17999999999999,123.80859375
sha3_256,32,51.52,123.80859375
sha3_256,64,50.4,123.80859375
sha3_256,128,51.879999999999995,123.80859375
sha3_256,200,51.260000000000005,123.80859375
sha3_256,512,51.339999999999996,123.80859375
sha512,1,40.0,123.80859375
sha512,2,30.0,123.80859375
sha512,4,50.0,123.80859375
sha512,8,52.0,123.80859375
sha512,16,52.239999999999995,123.80859375
sha512,32,50.54,123.80859375
sha512,64,51.6,123.80859375
sha512,128,51.56,123.80859375
sha512,200,50.92,123.80859375
sha512,512,51.160000000000004,123.80859375
