Algorithm,Data Size (MB),CPU (%),Peak Memory (MB)
md5,1,66.4,123.87109375
md5,1,0.0,123.87109375
md5,1,0.0,123.87109375
md5,1,0.0,123.87109375
md5,1,100.0,123.87109375
md5,2,20.0,123.87109375
md5,2,100.0,123.87109375
md5,2,0.0,123.87109375
md5,2,100.0,123.87109375
md5,2,0.0,123.87109375
md5,4,0.0,123.87109375
md5,4,50.0,123.87109375
md5,4,50.0,123.87109375
md5,4,50.0,123.87109375
md5,4,50.0,123.87109375
md5,8,50.0,123.87109375
md5,8,50.0,123.87109375
md5,8,50.0,123.87109375
md5,8,33.3,123.87109375
md5,8,50.0,123.87109375
md5,16,26.9,123.87109375
md5,16,50.0,123.87109375
md5,16,50.0,123.87109375
md5,16,57.1,123.87109375
md5,16,50.0,123.87109375
md5,32,17.6,123.87109375
md5,32,50.0,123.87109375
md5,32,50.0,123.87109375
md5,32,50.0,123.87109375
md5,32,52.9,123.87109375
md5,64,50.0,123.87109375
md5,64,50.0,123.87109375
md5,64,51.6,123.87109375
md5,64,51.6,123.87109375
md5,64,51.6,123.87109375
md5,128,21.6,123.87109375
md5,128,52.3,123.87109375
md5,128,52.4,123.87109375
md5,128,50.8,123.87109375
md5,128,50.0,123.87109375
md5,200,17.2,123.87109375
md5,200,51.0,123.87109375
md5,200,50.5,123.87109375
md5,200,50.0,123.87109375
md5,200,50.0,123.87109375
md5,512,27.5,123.80859375
md5,512,52.3,123.80859375
md5,512,51.4,123.80859375
md5,512,52.5,123.80859375
md5,512,50.8,123.80859375
sha1,1,0.0,123.80859375
sha1,1,0.0,123.80859375
sha1,1,0.0,123.80859375
sha1,1,0.0,123.80859375
sha1,1,0.0,123.80859375
sha1,2,100.0,123.80859375
sha1,2,0.0,123.80859375
sha1,2,100.0,123.80859375
sha1,2,0.0,123.80859375
sha1,2,0.0,123.80859375
sha1,4,50.0,123.80859375
sha1,4,50.0,123.80859375
sha1,4,50.0,123.80859375
sha1,4,50.0,123.80859375
sha1,4,50.0,123.80859375
sha1,8,50.0,123.80859375
sha1,8,66.7,123.80859375
sha1,8,33.3,123.80859375
sha1,8,50.0,123.80859375
sha1,8,66.7,123.80859375
sha1,16,42.9,123.80859375
sha1,16,50.0,123.80859375
sha1,16,50.0,123.80859375
sha1,16,50.0,123.80859375
sha1,16,55.6,123.80859375
sha1,32,53.3,123.80859375
sha1,32,53.3,123.80859375
sha1,32,50.0,123.80859375
sha1,32,57.1,123.80859375
sha1,32,50.0,123.80859375
sha1,64,48.1,123.80859375
sha1,64,50.0,123.80859375
sha1,64,53.3,123.80859375
sha1,64,51.7,123.80859375
sha1,64,51.9,123.80859375
sha1,128,50.0,123.80859375
sha1,128,50.0,123.80859375
sha1,128,55.7,123.80859375
sha1,128,51.7,123.80859375
sha1,128,50.9,123.80859375
sha1,200,51.1,123.80859375
sha1,200,65.5,123.80859375
sha1,200,50.6,123.80859375
sha1,200,50.6,123.80859375
sha1,200,51.1,123.80859375
sha1,512,50.7,123.80859375
sha1,512,51.5,123.80859375
sha1,512,50.4,123.80859375
sha1,512,51.3,123.80859375
sha1,512,52.3,123.80859375
sha256,1,0.0,123.80859375
sha256,1,100.0,123.80859375
sha256,1,0.0,123.80859375
sha256,1,0.0,123.80859375
sha256,1,0.0,123.80859375
sha256,2,50.0,123.80859375
sha256,2,50.0,123.80859375
sha256,2,0.0,123.80859375
sha256,2,50.0,123.80859375
sha256,2,100.0,123.80859375
sha256,4,50.0,123.80859375
sha256,4,33.3,123.80859375
sha256,4,66.7,123.80859375
sha256,4,50.0,123.80859375
sha256,4,33.3,123.80859375
sha256,8,50.0,123.80859375
sha256,8,57.1,123.80859375
sha256,8,50.0,123.80859375
sha256,8,50.0,123.80859375
sha256,8,42.9,123.80859375
sha256,16,57.1,123.80859375
sha256,16,50.0,123.80859375
sha256,16,50.0,123.80859375
sha256,16,50.0,123.80859375
sha256,16,50.0,123.80859375
sha256,32,50.0,123.80859375
sha256,32,50.0,123.80859375
sha256,32,51.9,123.80859375
sha256,32,50.0,123.80859375
sha256,32,50.0,123.80859375
sha256,64,51.0,123.80859375
sha256,64,50.0,123.80859375
sha256,64,49.0,123.80859375
