Algorithm,Data Size (MB),Iterations,Total Time (ms),Avg Time (ms),Speed (MBps)
blake3,1,5,7.260322570800781,1.4520645141601562,3443.3731774596085
blake3,2,5,13.982534408569336,2.796506881713867,3575.889644824117
blake3,4,5,24.811506271362305,4.962301254272461,4030.3881153487655
blake2s,1,5,16.45207405090332,3.290414810180664,1519.5652488950077
blake3,8,5,54.23903465270996,10.847806930541992,3687.381261126618
blake2s,2,5,33.59580039978027,6.719160079956055,1488.2812555442797
blake3,16,5,108.60085487365723,21.720170974731445,3683.212258921417
blake2s,4,5,75.41537284851074,15.083074569702148,1325.9895989757047
blake3,32,5,182.27243423461914,36.45448684692383,4389.0344876299205
blake2s,8,5,145.01118659973145,29.00223731994629,1379.2039406728804
blake3,64,5,346.78149223327637,69.35629844665527,4613.856378828015
blake2s,16,5,285.3882312774658,57.077646255493164,1401.5994920656137
blake3,128,5,647.8955745697021,129.57911491394043,4939.067537427262
blake2b,1,5,9.369850158691406,1.8739700317382812,2668.1323155216287
blake2s,32,5,560.4312419891357,112.08624839782715,1427.4721679693732
blake2b,2,5,19.65022087097168,3.930044174194336,2544.500661255293
blake2b,4,5,44.38900947570801,8.877801895141602,2252.809900043506
blake2b,8,5,92.81587600708008,18.563175201416016,2154.8037750001286
blake2b,16,5,191.7743682861328,38.35487365722656,2085.7844746133574
blake3,200,5,955.4219245910645,191.0843849182129,5233.28999608218
blake2b,32,5,394.26708221435547,78.8534164428711,2029.081392001819
blake2s,64,5,1148.0469703674316,229.60939407348633,1393.6712010031447
blake2b,64,5,746.7396259307861,149.34792518615723,2142.647777671706
sha256,1,5,5.199670791625977,1.0399341583251953,4807.996698610666
sha256,2,5,11.899471282958984,2.379894256591797,4201.867361250251
sha256,4,5,22.332191467285156,4.466438293457031,4477.840884827262
sha256,8,5,45.52936553955078,9.105873107910156,4392.769317777173
sha256,16,5,90.27862548828125,18.05572509765625,4430.727626130313
sha256,32,5,186.12170219421387,37.22434043884277,4298.262860100096
blake3,512,5,2277.44460105896,455.488920211792,5620.334296627146
sha256,64,5,377.2740364074707,75.45480728149414,4240.949139346386
blake2b,128,5,1457.1001529693604,291.42003059387207,2196.1427932588304
blake2s,128,5,2242.1321868896484,448.4264373779297,1427.212908637262
sha256,128,5,709.8720073699951,141.97440147399902,4507.85489042691
blake2b,200,5,2174.1225719451904,434.8245143890381,2299.7783402462414
sha256,200,5,1043.5070991516113,208.70141983032227,4791.534244534688
blake2s,200,5,3307.7878952026367,661.5575790405273,1511.5842243850093
sha256,512,5,2315.727949142456,463.1455898284912,5527.419576526684
blake2b,512,5,4142.059087753296,828.4118175506592,3090.250459691747
blake2s,512,5,6123.621463775635,1224.724292755127,2090.2663686379983
