Algorithm,Data Size (MB),Timing (ms)
blake3,1,1.4564990997314453
blake3,1,1.9364356994628906
blake3,1,1.531839370727539
blake3,1,1.1718273162841797
blake3,1,1.1637210845947266
blake3,2,3.3037662506103516
blake3,2,3.095865249633789
blake3,2,2.398967742919922
blake3,2,3.11279296875
blake3,2,2.0711421966552734
blake3,4,5.291461944580078
blake3,4,5.051136016845703
blake3,4,3.8559436798095703
blake3,4,5.906820297241211
blake3,4,4.706144332885742
blake2s,1,3.2243728637695312
blake2s,1,3.132343292236328
blake2s,1,3.4296512603759766
blake2s,1,3.354310989379883
blake2s,1,3.3113956451416016
blake3,8,11.956214904785156
blake3,8,9.73820686340332
blake3,8,8.828878402709961
blake3,8,9.952306747436523
blake3,8,13.763427734375
blake2s,2,6.371021270751953
blake2s,2,6.973505020141602
blake2s,2,6.9561004638671875
blake2s,2,6.149053573608398
blake2s,2,7.146120071411133
blake3,16,20.78104019165039
blake3,16,25.797128677368164
blake3,16,21.16107940673828
blake3,16,18.803834915161133
blake3,16,22.057771682739258
blake2s,4,17.042875289916992
blake2s,4,14.668464660644531
blake2s,4,13.22484016418457
blake2s,4,12.89224624633789
blake2s,4,17.586946487426758
blake3,32,41.220664978027344
blake3,32,42.191505432128906
blake3,32,29.661178588867188
blake3,32,30.976295471191406
blake3,32,38.2227897644043
blake2s,8,30.593156814575195
blake2s,8,25.629520416259766
blake2s,8,25.03204345703125
blake2s,8,33.00952911376953
blake2s,8,30.746936798095703
blake3,64,80.20734786987305
blake3,64,68.35699081420898
blake3,64,65.0334358215332
blake3,64,70.11151313781738
blake3,64,63.07220458984375
blake2s,16,59.38839912414551
blake2s,16,54.67486381530762
blake2s,16,53.5128116607666
blake2s,16,58.455467224121094
blake2s,16,59.356689453125
blake3,128,139.71352577209473
blake3,128,138.29374313354492
blake3,128,136.7056369781494
blake3,128,115.69976806640625
blake3,128,117.48290061950684
blake2b,1,1.6489028930664062
blake2b,1,1.813650131225586
blake2b,1,2.0911693572998047
blake2b,1,2.040386199951172
blake2b,1,1.7757415771484375
blake2s,32,117.01130867004395
blake2s,32,111.4339828491211
