Algorithm,Data Size (MB),Iterations,Total Time (ms),Avg Time (ms),Speed (MBps)
md5,1,5,7.077932357788086,1.4155864715576172,3532.1049617677772
md5,2,5,13.448715209960938,2.6897430419921875,3717.827258544887
md5,4,5,27.570247650146484,5.514049530029297,3627.098358671025
md5,8,5,57.43598937988281,11.487197875976562,3482.1372829010725
md5,16,5,107.79428482055664,21.558856964111328,3710.7718713090712
md5,32,5,217.0252799987793,43.40505599975586,3686.206510156327
md5,64,5,443.8962936401367,88.77925872802734,3604.4455043301346
md5,128,5,890.0473117828369,178.00946235656738,3595.314493552192
md5,200,5,1386.3098621368408,277.26197242736816,3606.697273503531
md5,512,5,3521.449089050293,704.2898178100586,3634.8672595610515
sha1,1,5,2.6581287384033203,0.5316257476806641,9405.11256614943
sha1,2,5,5.494832992553711,1.0989665985107422,9099.457630060311
sha1,4,5,11.824846267700195,2.364969253540039,8456.769562675161
sha1,8,5,27.532339096069336,5.506467819213867,7264.184830142277
sha1,16,5,50.505876541137695,10.101175308227539,7919.870466443539
sha1,32,5,98.4041690826416,19.68083381652832,8129.736854219515
sha1,64,5,198.24719429016113,39.64943885803223,8070.732126771929
sha1,128,5,412.77432441711426,82.55486488342285,7752.420174192703
sha1,200,5,715.4529094696045,143.0905818939209,6988.580148072515
sha1,512,5,1689.5701885223389,337.9140377044678,7575.891245568555
sha256,1,5,3.823518753051758,0.7647037506103516,6538.4797655421835
sha256,2,5,7.138252258300781,1.4276504516601562,7004.515698062793
sha256,4,5,15.615463256835938,3.1230926513671875,6403.908635641871
sha256,8,5,28.47743034362793,5.695486068725586,7023.105581741918
sha256,16,5,53.75409126281738,10.750818252563477,7441.294059726516
sha256,32,5,105.5154800415039,21.10309600830078,7581.825905405772
sha256,64,5,226.92322731018066,45.38464546203613,7050.842784872634
sha256,128,5,435.0392818450928,87.00785636901855,7355.657600454215
sha256,200,5,695.6713199615479,139.13426399230957,7187.302187872812
sha256,512,5,1755.190372467041,351.0380744934082,7292.656227374765
sha512,1,5,8.267641067504883,1.6535282135009766,3023.837125472215
sha512,2,5,13.34524154663086,2.669048309326172,3746.653803551649
sha512,4,5,27.828216552734375,5.565643310546875,3593.474982864976
sha512,8,5,56.98847770690918,11.397695541381836,3509.4813556627496
sha512,16,5,113.12174797058105,22.62434959411621,3536.013252765735
sha512,32,5,231.2617301940918,46.25234603881836,3459.2839867131556
sha512,64,5,473.35004806518555,94.67000961303711,3380.162327098068
sha512,128,5,920.7148551940918,184.14297103881836,3475.56030181073
sha512,200,5,1454.866647720337,290.9733295440674,3436.7410977731956
sha512,512,5,3717.3476219177246,743.4695243835449,3443.3153156111534
sha3_256,1,5,13.857603073120117,2.7715206146240234,1804.0637957435094
sha3_256,2,5,25.145769119262695,5.029153823852539,1988.406071926348
sha3_256,4,5,45.48525810241699,9.097051620483398,2198.514511555255
sha3_256,8,5,99.83086585998535,19.96617317199707,2003.3884137647742
sha3_256,16,5,189.41736221313477,37.88347244262695,2111.738836009737
sha3_256,32,5,385.6172561645508,77.12345123291016,2074.5959554741075
sha3_256,64,5,771.8257904052734,154.3651580810547,2073.00665498605
sha3_256,128,5,1491.647481918335,298.329496383667,2145.278987689931
sha3_256,200,5,2354.921340942383,470.98426818847656,2123.213167705687
sha3_256,512,5,5950.005054473877,1190.0010108947754,2151.2586767259186
blake2s,1,5,9.639263153076172,1.9278526306152344,2593.5592381894635
blake2s,2,5,18.064022064208984,3.612804412841797,2767.9328458675395
blake2s,4,5,35.35151481628418,7.070302963256836,2828.7330972854493
blake2s,8,5,74.66483116149902,14.932966232299805,2678.6372765968317
blake2s,16,5,151.8268585205078,30.365371704101562,2634.579967588347
blake2s,32,5,300.69828033447266,60.13965606689453,2660.4741440827133
blake2s,64,5,604.5000553131104,120.90001106262207,2646.8153078517994
blake2s,128,5,1251.807451248169,250.3614902496338,2556.3036845716974
blake2s,200,5,1885.718584060669,377.1437168121338,2651.5091075960545
blake2s,512,5,4874.462366104126,974.8924732208252,2625.930623448488
blake2b,1,5,5.300283432006836,1.0600566864013672,4716.728892087625
blake2b,2,5,11.901378631591797,2.3802757263183594,4201.193958091269
blake2b,4,5,24.7652530670166,4.95305061340332,4037.91553146631
blake2b,8,5,50.179481506347656,10.035896301269531,3985.692836915826
blake2b,16,5,93.38998794555664,18.677997589111328,4283.114376598775
blake2b,32,5,194.53144073486328,38.906288146972656,4112.445767007712
blake2b,64,5,399.7325897216797,79.94651794433594,4002.6758916855542
blake2b,128,5,791.8214797973633,158.36429595947266,4041.3149701608486
blake2b,200,5,1247.7953433990479,249.55906867980957,4007.067366015156
blake2b,512,5,3161.705493927002,632.3410987854004,4048.4479103402314
blake3,1,5,1.9240379333496094,0.3848075866699219,12993.506815365552
blake3,2,5,3.5178661346435547,0.7035732269287109,14213.161640121993
blake3,4,5,6.922245025634766,1.3844490051269531,14446.180340290693
blake3,8,5,14.817476272583008,2.9634952545166016,13497.575182223367
blake3,16,5,28.69415283203125,5.73883056640625,13940.122307896836
blake3,32,5,59.08608436584473,11.817216873168945,13539.567033188741
blake3,64,5,127.00128555297852,25.400257110595703,12598.297671030747
blake3,128,5,263.35597038269043,52.671194076538086,12150.854204482186
blake3,200,5,393.4519290924072,78.69038581848145,12708.032748838514
blake3,512,5,1021.6326713562012,204.32653427124023,12528.965017346403
