Algorithm,Data Size (MB),Timing (ms)
md5,1,1.4379024505615234
md5,1,1.4235973358154297
md5,1,1.4522075653076172
md5,1,1.405954360961914
md5,1,1.3582706451416016
md5,2,2.7201175689697266
md5,2,2.6721954345703125
md5,2,2.6390552520751953
md5,2,2.5866031646728516
md5,2,2.8307437896728516
md5,4,5.499601364135742
md5,4,5.5637359619140625
md5,4,5.565643310546875
md5,4,5.460977554321289
md5,4,5.480289459228516
md5,8,11.317253112792969
md5,8,11.183977127075195
md5,8,12.549638748168945
md5,8,11.550664901733398
md5,8,10.834455490112305
md5,16,21.4078426361084
md5,16,22.130489349365234
md5,16,20.95341682434082
md5,16,21.374940872192383
md5,16,21.927595138549805
md5,32,42.62351989746094
md5,32,44.0976619720459
md5,32,43.83063316345215
md5,32,43.12872886657715
md5,32,43.344736099243164
md5,64,89.20502662658691
md5,64,87.40615844726562
md5,64,90.82794189453125
md5,64,87.5852108001709
md5,64,88.87195587158203
md5,128,180.41133880615234
md5,128,176.48792266845703
md5,128,177.96945571899414
md5,128,177.8120994567871
md5,128,177.3664951324463
md5,200,275.93541145324707
md5,200,274.0898132324219
md5,200,279.3593406677246
md5,200,279.62660789489746
md5,200,277.2986888885498
md5,512,704.3864727020264
md5,512,705.3332328796387
md5,512,698.544979095459
md5,512,709.2387676239014
md5,512,703.9456367492676
sha1,1,0.5414485931396484
sha1,1,0.5297660827636719
sha1,1,0.5230903625488281
sha1,1,0.5359649658203125
sha1,1,0.5278587341308594
sha1,2,1.0988712310791016
sha1,2,1.0650157928466797
sha1,2,1.0499954223632812
sha1,2,1.0869503021240234
sha1,2,1.194000244140625
sha1,4,2.4988651275634766
sha1,4,2.4344921112060547
sha1,4,2.3064613342285156
sha1,4,2.3031234741210938
sha1,4,2.2819042205810547
sha1,8,5.744695663452148
sha1,8,5.1021575927734375
sha1,8,5.649805068969727
sha1,8,5.533933639526367
sha1,8,5.501747131347656
sha1,16,10.269880294799805
sha1,16,10.310173034667969
sha1,16,10.023355484008789
sha1,16,9.766578674316406
sha1,16,10.135889053344727
sha1,32,20.322561264038086
sha1,32,20.814180374145508
sha1,32,18.74685287475586
sha1,32,18.883943557739258
sha1,32,19.63663101196289
sha1,64,40.0087833404541
sha1,64,38.95831108093262
sha1,64,40.621042251586914
sha1,64,38.15937042236328
sha1,64,40.49968719482422
sha1,128,81.4969539642334
sha1,128,82.10992813110352
sha1,128,83.0833911895752
sha1,128,83.9071273803711
sha1,128,82.17692375183105
sha1,200,132.27295875549316
sha1,200,134.78612899780273
sha1,200,151.40509605407715
sha1,200,151.3211727142334
sha1,200,145.66755294799805
sha1,512,337.73183822631836
sha1,512,327.7320861816406
sha1,512,324.3598937988281
sha1,512,351.4211177825928
sha1,512,348.325252532959
sha256,1,0.7412433624267578
sha256,1,0.6642341613769531
sha256,1,0.9906291961669922
sha256,1,0.6883144378662109
sha256,1,0.7390975952148438
sha256,2,1.6369819641113281
sha256,2,1.4503002166748047
sha256,2,1.3723373413085938
sha256,2,1.306772232055664
sha256,2,1.3718605041503906
sha256,4,3.221273422241211
sha256,4,3.010988235473633
sha256,4,3.220081329345703
sha256,4,3.0035972595214844
sha256,4,3.1595230102539062
sha256,8,5.536317825317383
sha256,8,5.7926177978515625
sha256,8,5.9795379638671875
sha256,8,5.481481552124023
sha256,8,5.687475204467773
sha256,16,11.243104934692383
sha256,16,10.528564453125
sha256,16,10.470867156982422
sha256,16,10.98942756652832
sha256,16,10.522127151489258
sha256,32,20.296335220336914
sha256,32,21.243572235107422
sha256,32,20.682334899902344
sha256,32,21.953582763671875
sha256,32,21.33965492248535
sha256,64,45.71676254272461
sha256,64,47.510385513305664
sha256,64,44.77643966674805
sha256,64,43.509721755981445
sha256,64,45.4099178314209
sha256,128,85.48903465270996
sha256,128,88.49143981933594
sha256,128,85.85262298583984
sha256,128,88.12952041625977
sha256,128,87.07666397094727
sha256,200,141.10350608825684
sha256,200,142.13180541992188
sha256,200,142.08102226257324
sha256,200,135.35737991333008
sha256,200,134.99760627746582
sha256,512,359.10606384277344
sha256,512,347.0895290374756
sha256,512,344.5298671722412
sha256,512,347.3832607269287
sha256,512,357.08165168762207
sha512,1,1.340627670288086
sha512,1,1.840829849243164
sha512,1,2.1898746490478516
sha512,1,1.527547836303711
sha512,1,1.3687610626220703
sha512,2,2.8705596923828125
sha512,2,2.980947494506836
sha512,2,2.6297569274902344
sha512,2,2.4170875549316406
sha512,2,2.446889877319336
sha512,4,5.408048629760742
sha512,4,5.299568176269531
sha512,4,5.396604537963867
sha512,4,5.806684494018555
sha512,4,5.91731071472168
sha512,8,12.002944946289062
sha512,8,11.35873794555664
sha512,8,10.897636413574219
sha512,8,11.211633682250977
sha512,8,11.517524719238281
sha512,16,23.601055145263672
sha512,16,21.584272384643555
sha512,16,23.349523544311523
sha512,16,21.65079116821289
sha512,16,22.936105728149414
sha512,32,45.356035232543945
sha512,32,46.99850082397461
sha512,32,44.95668411254883
sha512,32,47.89257049560547
sha512,32,46.057939529418945
sha512,64,95.41845321655273
sha512,64,93.78981590270996
sha512,64,95.57676315307617
sha512,64,95.1380729675293
sha512,64,93.42694282531738
sha512,128,178.71642112731934
sha512,128,191.70498847961426
sha512,128,181.45084381103516
sha512,128,180.6180477142334
sha512,128,188.22455406188965
sha512,200,283.86497497558594
sha512,200,284.9552631378174
sha512,200,292.1626567840576
sha512,200,299.1354465484619
sha512,200,294.74830627441406
sha512,512,734.6668243408203
sha512,512,726.5398502349854
sha512,512,757.0219039916992
sha512,512,742.8493499755859
sha512,512,756.2696933746338
sha3_256,1,2.482175827026367
sha3_256,1,2.7184486389160156
sha3_256,1,2.9795169830322266
sha3_256,1,2.8951168060302734
sha3_256,1,2.7823448181152344
sha3_256,2,5.182027816772461
sha3_256,2,5.16510009765625
sha3_256,2,5.045890808105469
sha3_256,2,4.8770904541015625
sha3_256,2,4.875659942626953
sha3_256,4,9.972095489501953
sha3_256,4,10.844707489013672
sha3_256,4,7.870674133300781
sha3_256,4,8.014678955078125
sha3_256,4,8.783102035522461
sha3_256,8,20.05147933959961
sha3_256,8,20.57814598083496
sha3_256,8,20.374774932861328
sha3_256,8,20.163774490356445
sha3_256,8,18.662691116333008
sha3_256,16,36.44299507141113
sha3_256,16,37.27602958679199
sha3_256,16,37.93191909790039
sha3_256,16,38.69509696960449
sha3_256,16,39.07132148742676
sha3_256,32,77.57902145385742
sha3_256,32,77.19850540161133
sha3_256,32,77.24571228027344
sha3_256,32,76.62010192871094
sha3_256,32,76.97391510009766
sha3_256,64,147.90987968444824
sha3_256,64,160.08853912353516
sha3_256,64,161.74888610839844
sha3_256,64,150.3758430480957
sha3_256,64,151.7026424407959
sha3_256,128,308.06732177734375
sha3_256,128,294.7649955749512
sha3_256,128,294.18230056762695
sha3_256,128,295.5589294433594
sha3_256,128,299.0739345550537
sha3_256,200,496.7613220214844
sha3_256,200,459.5811367034912
sha3_256,200,465.3794765472412
sha3_256,200,468.81675720214844
sha3_256,200,464.3826484680176
sha3_256,512,1208.5058689117432
sha3_256,512,1199.1124153137207
sha3_256,512,1164.8285388946533
sha3_256,512,1178.9989471435547
sha3_256,512,1198.559284210205
blake2s,1,2.1448135375976562
blake2s,1,1.9168853759765625
blake2s,1,1.9233226776123047
blake2s,1,1.8503665924072266
blake2s,1,1.8038749694824219
blake2s,2,3.660917282104492
blake2s,2,3.5991668701171875
blake2s,2,3.6895275115966797
blake2s,2,3.5610198974609375
blake2s,2,3.5533905029296875
blake2s,4,7.322072982788086
blake2s,4,7.5588226318359375
blake2s,4,6.93058967590332
blake2s,4,6.797552108764648
blake2s,4,6.7424774169921875
blake2s,8,15.039205551147461
blake2s,8,14.786481857299805
blake2s,8,15.108346939086914
blake2s,8,14.880895614624023
blake2s,8,14.84990119934082
blake2s,16,30.097484588623047
blake2s,16,30.78746795654297
blake2s,16,30.171871185302734
blake2s,16,30.560731887817383
blake2s,16,30.20930290222168
blake2s,32,60.60194969177246
blake2s,32,60.459136962890625
blake2s,32,59.93771553039551
blake2s,32,60.62674522399902
blake2s,32,59.07273292541504
blake2s,64,122.67374992370605
blake2s,64,122.04432487487793
blake2s,64,121.4754581451416
blake2s,64,113.1138801574707
blake2s,64,125.19264221191406
blake2s,128,238.20137977600098
blake2s,128,241.23096466064453
blake2s,128,256.60181045532227
blake2s,128,264.4941806793213
blake2s,128,251.27911567687988
blake2s,200,382.28869438171387
blake2s,200,390.73753356933594
blake2s,200,368.5779571533203
blake2s,200,371.4001178741455
blake2s,200,372.7142810821533
blake2s,512,945.305347442627
blake2s,512,998.0194568634033
blake2s,512,994.6534633636475
blake2s,512,995.7482814788818
blake2s,512,940.7358169555664
blake2b,1,1.1107921600341797
blake2b,1,1.0380744934082031
blake2b,1,1.0421276092529297
blake2b,1,1.0459423065185547
blake2b,1,1.0633468627929688
blake2b,2,2.3908615112304688
blake2b,2,2.4335384368896484
blake2b,2,2.34222412109375
blake2b,2,2.4116039276123047
blake2b,2,2.323150634765625
blake2b,4,4.9076080322265625
blake2b,4,5.144596099853516
blake2b,4,4.642963409423828
blake2b,4,5.096912384033203
blake2b,4,4.973173141479492
blake2b,8,10.565996170043945
