Algorithm,Data Size (MB),Average_CPU_Usage,Peak_Memory
blake2b,1,20.0,124.6484375
blake2b,2,13.0,124.6484375
blake2b,4,14.780000000000001,124.6484375
blake2b,8,19.240000000000002,124.6484375
blake2b,16,17.740000000000002,124.6484375
blake2b,32,17.54,124.6484375
blake2b,64,17.18,124.6484375
blake2b,128,19.1,124.6484375
blake2b,200,19.3,124.6484375
blake2b,512,17.380000000000003,124.6484375
blake2s,1,16.66,124.6484375
blake2s,2,18.0,124.6484375
blake2s,4,22.619999999999997,124.6484375
blake2s,8,17.8,124.6484375
blake2s,16,18.64,124.6484375
blake2s,32,19.44,124.6484375
blake2s,64,19.34,124.6484375
blake2s,128,17.7,124.6484375
blake2s,200,18.779999999999998,124.6484375
blake2s,512,18.1,124.6484375
blake3,1,20.0,124.6484375
blake3,2,0.0,124.6484375
blake3,4,6.659999999999999,124.6484375
blake3,8,24.24,124.6484375
blake3,16,14.8,124.6484375
blake3,32,20.54,124.6484375
blake3,64,16.759999999999998,124.6484375
blake3,128,18.22,124.6484375
blake3,200,17.14,124.6484375
blake3,512,17.4,124.6484375
md5,1,29.54,124.3984375
md5,2,20.66,124.3984375
md5,4,8.580000000000002,124.3984375
md5,8,13.940000000000001,124.3984375
md5,16,14.7,124.3984375
md5,32,13.280000000000001,124.3984375
md5,64,15.080000000000002,124.3984375
md5,128,15.12,124.3984375
md5,200,16.72,124.3984375
md5,512,16.46,124.3984375
sha1,1,10.0,124.5234375
sha1,2,16.66,124.5234375
sha1,4,8.0,124.5234375
sha1,8,21.82,124.5234375
sha1,16,19.14,124.5234375
sha1,32,21.3,124.5234375
sha1,64,18.18,124.5234375
sha1,128,24.58,124.5234375
sha1,200,16.4,124.5234375
sha1,512,18.32,124.5234375
sha256,1,0.0,124.5234375
sha256,2,13.319999999999999,124.5234375
sha256,4,13.0,124.5234375
sha256,8,22.0,124.5234375
sha256,16,20.580000000000002,124.5234375
sha256,32,22.68,124.5234375
sha256,64,20.9,124.5234375
sha256,128,18.080000000000002,124.5234375
sha256,200,17.16,124.5234375
sha256,512,17.78,124.5234375
sha3_256,1,21.66,124.6484375
sha3_256,2,20.68,124.6484375
sha3_256,4,17.34,124.6484375
sha3_256,8,20.94,124.6484375
sha3_256,16,19.06,124.6484375
sha3_256,32,19.82,124.6484375
sha3_256,64,17.619999999999997,124.6484375
sha3_256,128,17.5,124.6484375
sha3_256,200,18.839999999999996,124.6484375
sha3_256,512,19.22,124.6484375
sha512,1,26.660000000000004,124.5234375
sha512,2,17.0,124.5234375
sha512,4,19.880000000000003,124.5234375
sha512,8,19.86,124.5234375
sha512,16,16.98,124.5234375
sha512,32,18.18,124.5234375
sha512,64,16.860000000000003,124.5234375
sha512,128,16.34,124.5234375
sha512,200,16.68,124.5234375
sha512,512,17.78,124.5234375
