Algorithm,Data Size (MB),CPU (%),Peak Memory (MB)
md5,1,47.7,124.3984375
md5,1,66.7,124.3984375
md5,1,0.0,124.3984375
md5,1,33.3,124.3984375
md5,1,0.0,124.3984375
md5,2,25.0,124.3984375
md5,2,0.0,124.3984375
md5,2,25.0,124.3984375
md5,2,33.3,124.3984375
md5,2,20.0,124.3984375
md5,4,14.3,124.3984375
md5,4,0.0,124.3984375
md5,4,14.3,124.3984375
md5,4,0.0,124.3984375
md5,4,14.3,124.3984375
md5,8,13.3,124.3984375
md5,8,15.4,124.3984375
md5,8,13.3,124.3984375
md5,8,7.7,124.3984375
md5,8,20.0,124.3984375
md5,16,13.8,124.3984375
md5,16,14.3,124.3984375
md5,16,14.3,124.3984375
md5,16,11.1,124.3984375
md5,16,20.0,124.3984375
md5,32,12.5,124.3984375
md5,32,14.0,124.3984375
md5,32,12.7,124.3984375
md5,32,12.7,124.3984375
md5,32,14.5,124.3984375
md5,64,13.6,124.3984375
md5,64,14.2,124.3984375
md5,64,14.2,124.3984375
md5,64,15.5,124.3984375
md5,64,17.9,124.3984375
md5,128,15.6,124.3984375
md5,128,14.6,124.3984375
md5,128,15.0,124.3984375
md5,128,14.6,124.3984375
md5,128,15.8,124.3984375
md5,200,14.9,124.3984375
md5,200,15.7,124.3984375
md5,200,17.5,124.3984375
md5,200,17.1,124.3984375
md5,200,18.4,124.3984375
md5,512,15.6,124.3984375
md5,512,15.4,124.3984375
md5,512,14.1,124.3984375
md5,512,18.6,124.3984375
md5,512,18.6,124.3984375
sha1,1,0.0,124.5234375
sha1,1,50.0,124.5234375
sha1,1,0.0,124.5234375
sha1,1,0.0,124.5234375
sha1,1,0.0,124.5234375
sha1,2,0.0,124.5234375
sha1,2,33.3,124.5234375
sha1,2,0.0,124.5234375
sha1,2,0.0,124.5234375
sha1,2,50.0,124.5234375
sha1,4,0.0,124.5234375
sha1,4,0.0,124.5234375
sha1,4,0.0,124.5234375
sha1,4,40.0,124.5234375
sha1,4,0.0,124.5234375
sha1,8,33.3,124.5234375
sha1,8,14.3,124.5234375
sha1,8,22.2,124.5234375
sha1,8,14.3,124.5234375
sha1,8,25.0,124.5234375
sha1,16,18.7,124.5234375
sha1,16,29.4,124.5234375
sha1,16,13.3,124.5234375
sha1,16,20.0,124.5234375
sha1,16,14.3,124.5234375
sha1,32,19.4,124.5234375
sha1,32,19.4,124.5234375
sha1,32,25.8,124.5234375
sha1,32,25.8,124.5234375
sha1,32,16.1,124.5234375
sha1,64,20.6,124.5234375
sha1,64,16.7,124.5234375
sha1,64,21.9,124.5234375
sha1,64,16.9,124.5234375
sha1,64,14.8,124.5234375
sha1,128,18.8,124.5234375
sha1,128,16.5,124.5234375
sha1,128,49.3,124.5234375
sha1,128,21.6,124.5234375
sha1,128,16.7,124.5234375
sha1,200,17.6,124.5234375
sha1,200,16.0,124.5234375
sha1,200,15.1,124.5234375
sha1,200,16.5,124.5234375
sha1,200,16.8,124.5234375
sha1,512,20.3,124.5234375
sha1,512,18.5,124.5234375
sha1,512,16.5,124.5234375
sha1,512,17.4,124.5234375
sha1,512,18.9,124.5234375
sha256,1,0.0,124.5234375
sha256,1,0.0,124.5234375
sha256,1,0.0,124.5234375
sha256,1,0.0,124.5234375
sha256,1,0.0,124.5234375
sha256,2,33.3,124.5234375
sha256,2,0.0,124.5234375
sha256,2,0.0,124.5234375
sha256,2,0.0,124.5234375
sha256,2,33.3,124.5234375
sha256,4,0.0,124.5234375
sha256,4,0.0,124.5234375
sha256,4,25.0,124.5234375
sha256,4,0.0,124.5234375
sha256,4,40.0,124.5234375
sha256,8,25.0,124.5234375
sha256,8,30.0,124.5234375
sha256,8,0.0,124.5234375
sha256,8,25.0,124.5234375
sha256,8,30.0,124.5234375
sha256,16,12.5,124.5234375
sha256,16,25.0,124.5234375
sha256,16,27.8,124.5234375
sha256,16,17.6,124.5234375
sha256,16,20.0,124.5234375
sha256,32,16.1,124.5234375
sha256,32,28.1,124.5234375
sha256,32,20.0,124.5234375
sha256,32,21.9,124.5234375
sha256,32,27.3,124.5234375
sha256,64,22.7,124.5234375
sha256,64,20.6,124.5234375
sha256,64,20.6,124.5234375
sha256,64,18.7,124.5234375
sha256,64,21.9,124.5234375
sha256,128,19.4,124.5234375
sha256,128,17.2,124.5234375
sha256,128,18.3,124.5234375
sha256,128,17.5,124.5234375
sha256,128,18.0,124.5234375
sha256,200,18.7,124.5234375
sha256,200,16.7,124.5234375
sha256,200,15.4,124.5234375
sha256,200,20.8,124.5234375
sha256,200,14.2,124.5234375
sha256,512,22.1,124.5234375
sha256,512,15.1,124.5234375
sha256,512,16.7,124.5234375
sha256,512,17.0,124.5234375
sha256,512,18.0,124.5234375
sha512,1,50.0,124.5234375
sha512,1,0.0,124.5234375
sha512,1,0.0,124.5234375
sha512,1,50.0,124.5234375
sha512,1,33.3,124.5234375
sha512,2,25.0,124.5234375
sha512,2,0.0,124.5234375
sha512,2,40.0,124.5234375
sha512,2,0.0,124.5234375
sha512,2,20.0,124.5234375
sha512,4,22.2,124.5234375
sha512,4,12.5,124.5234375
sha512,4,30.0,124.5234375
sha512,4,22.2,124.5234375
sha512,4,12.5,124.5234375
sha512,8,18.8,124.5234375
sha512,8,13.3,124.5234375
sha512,8,18.7,124.5234375
sha512,8,22.2,124.5234375
sha512,8,26.3,124.5234375
sha512,16,18.2,124.5234375
sha512,16,15.6,124.5234375
sha512,16,20.6,124.5234375
sha512,16,17.6,124.5234375
sha512,16,12.9,124.5234375
sha512,32,19.0,124.5234375
sha512,32,21.0,124.5234375
sha512,32,18.6,124.5234375
sha512,32,14.8,124.5234375
sha512,32,17.5,124.5234375
sha512,64,15.9,124.5234375
sha512,64,15.7,124.5234375
sha512,64,17.1,124.5234375
sha512,64,15.8,124.5234375
sha512,64,19.8,124.5234375
sha512,128,16.7,124.5234375
sha512,128,18.5,124.5234375
sha512,128,15.5,124.5234375
sha512,128,14.5,124.5234375
sha512,128,16.5,124.5234375
sha512,200,15.9,124.5234375
sha512,200,16.8,124.5234375
sha512,200,17.3,124.5234375
sha512,200,16.5,124.5234375
sha512,200,16.9,124.5234375
sha512,512,19.2,124.5234375
sha512,512,17.6,124.5234375
sha512,512,17.3,124.5234375
sha512,512,17.0,124.5234375
sha512,512,17.8,124.5234375
sha3_256,1,33.3,124.6484375
sha3_256,1,0.0,124.6484375
sha3_256,1,50.0,124.6484375
sha3_256,1,25.0,124.6484375
sha3_256,1,0.0,124.6484375
sha3_256,2,50.0,124.6484375
sha3_256,2,16.7,124.6484375
sha3_256,2,0.0,124.6484375
sha3_256,2,20.0,124.6484375
sha3_256,2,16.7,124.6484375
sha3_256,4,18.2,124.6484375
sha3_256,4,9.1,124.6484375
sha3_256,4,15.4,124.6484375
sha3_256,4,28.6,124.6484375
sha3_256,4,15.4,124.6484375
sha3_256,8,21.7,124.6484375
sha3_256,8,24.0,124.6484375
sha3_256,8,20.0,124.6484375
sha3_256,8,18.2,124.6484375
sha3_256,8,20.8,124.6484375
sha3_256,16,16.7,124.6484375
sha3_256,16,17.0,124.6484375
sha3_256,16,20.8,124.6484375
sha3_256,16,20.4,124.6484375
sha3_256,16,20.4,124.6484375
sha3_256,32,21.5,124.6484375
sha3_256,32,22.2,124.6484375
sha3_256,32,18.3,124.6484375
sha3_256,32,17.5,124.6484375
sha3_256,32,19.6,124.6484375
sha3_256,64,19.0,124.6484375
sha3_256,64,17.0,124.6484375
sha3_256,64,18.4,124.6484375
sha3_256,64,17.2,124.6484375
sha3_256,64,16.5,124.6484375
sha3_256,128,17.1,124.6484375
sha3_256,128,17.3,124.6484375
sha3_256,128,16.7,124.6484375
sha3_256,128,18.1,124.6484375
sha3_256,128,18.3,124.6484375
sha3_256,200,18.2,124.6484375
sha3_256,200,19.9,124.6484375
sha3_256,200,19.9,124.6484375
sha3_256,200,18.7,124.6484375
sha3_256,200,17.5,124.6484375
sha3_256,512,18.6,124.6484375
sha3_256,512,20.2,124.6484375
sha3_256,512,18.9,124.6484375
sha3_256,512,18.6,124.6484375
sha3_256,512,19.8,124.6484375
blake2s,1,0.0,124.6484375
blake2s,1,0.0,124.6484375
blake2s,1,33.3,124.6484375
blake2s,1,50.0,124.6484375
blake2s,1,0.0,124.6484375
blake2s,2,20.0,124.6484375
blake2s,2,33.3,124.6484375
blake2s,2,16.7,124.6484375
blake2s,2,0.0,124.6484375
blake2s,2,20.0,124.6484375
blake2s,4,20.0,124.6484375
blake2s,4,20.0,124.6484375
blake2s,4,33.3,124.6484375
blake2s,4,12.5,124.6484375
blake2s,4,27.3,124.6484375
blake2s,8,10.5,124.6484375
blake2s,8,15.0,124.6484375
blake2s,8,23.8,124.6484375
blake2s,8,28.6,124.6484375
blake2s,8,11.1,124.6484375
blake2s,16,19.5,124.6484375
blake2s,16,15.8,124.6484375
blake2s,16,20.0,124.6484375
blake2s,16,22.5,124.6484375
blake2s,16,15.4,124.6484375
blake2s,32,20.0,124.6484375
blake2s,32,20.3,124.6484375
blake2s,32,20.0,124.6484375
