Algorithm,Data Size (MB),Iterations,Total Time (ms),Avg Time (ms),Speed (MBps)
blake3,1,5,7.002830505371094,1.4005661010742188,3569.9850197466976
blake3,2,5,14.08696174621582,2.817392349243164,3549.3813996784293
blake3,4,5,27.154207229614258,5.430841445922852,3682.670576769424
blake2s,1,5,19.12999153137207,3.825998306274414,1306.8484614330048
blake3,8,5,64.06092643737793,12.812185287475586,3122.02790566115
blake2s,2,5,35.890817642211914,7.178163528442383,1393.1139852660808
blake3,16,5,126.13773345947266,25.22754669189453,3171.1367330737535
blake2s,4,5,74.84245300292969,14.968490600585938,1336.1400647315172
blake3,32,5,242.83361434936523,48.56672286987305,3294.436818986017
blake2s,8,5,163.43951225280762,32.68790245056152,1223.6943028234248
blake2s,16,5,316.2567615509033,63.251352310180664,1264.795092564741
blake3,64,5,449.1453170776367,89.82906341552734,3562.3214562502785
blake2s,32,5,613.5070323944092,122.70140647888184,1303.9785328584446
blake2b,1,5,14.01662826538086,2.803325653076172,1783.5958496342917
blake2b,2,5,24.71470832824707,4.942941665649414,2023.0867925256364
blake3,128,5,776.639461517334,155.3278923034668,4120.316000616431
blake2b,4,5,51.19681358337402,10.239362716674805,1953.2465597131347
blake2b,8,5,99.62606430053711,19.925212860107422,2007.5067845365215
blake2b,16,5,193.5586929321289,38.71173858642578,2066.5566291060845
blake3,200,5,1114.5963668823242,222.91927337646484,4485.928851522881
blake2b,32,5,422.49560356140137,84.49912071228027,1893.5108277019879
blake2s,64,5,1228.3763885498047,245.67527770996094,1302.5323629746142
blake2b,64,5,798.5806465148926,159.71612930297852,2003.5546904155558
sha256,1,5,6.321907043457031,1.2643814086914062,3954.5029416201537
sha256,2,5,11.512279510498047,2.3024559020996094,4343.188501843184
sha256,4,5,23.583412170410156,4.716682434082031,4240.268510655505
sha256,8,5,49.74794387817383,9.949588775634766,4020.2666564426
sha256,16,5,99.03645515441895,19.80729103088379,4038.916774397011
sha256,32,5,205.30939102172852,41.0618782043457,3896.5582432385354
sha256,64,5,388.8592720031738,77.77185440063477,4114.599072712714
blake2s,128,5,2445.4593658447266,489.0918731689453,1308.5476065126256
blake2b,128,5,1688.3423328399658,337.66846656799316,1895.3502129021845
blake3,512,5,2926.546573638916,585.3093147277832,4373.755782770363
sha256,128,5,845.1879024505615,169.0375804901123,3786.140325390165
blake2b,200,5,2621.9913959503174,524.3982791900635,1906.947523825796
sha256,200,5,1210.174322128296,242.03486442565918,4131.636168917099
blake2s,200,5,3600.42667388916,720.085334777832,1388.7242965565047
sha256,512,5,2467.4243927001953,493.48487854003906,5187.595631245454
blake2b,512,5,4922.829389572144,984.5658779144287,2600.1307352056097
blake2s,512,5,6880.295991897583,1376.0591983795166,1860.3850786468513
