Algorithm,Data Size (MB),Timing (ms)
blake3,1,0.9992122650146484
blake3,1,2.0029544830322266
blake3,1,0.9999275207519531
blake3,1,2.001047134399414
blake3,1,0.9996891021728516
blake3,2,4.002809524536133
blake3,2,2.0008087158203125
blake3,2,3.0832290649414062
blake3,2,1.9996166229248047
blake3,2,3.000497817993164
blake3,4,5.00035285949707
blake3,4,6.08372688293457
blake3,4,5.048036575317383
blake3,4,3.0002593994140625
blake3,4,8.021831512451172
blake2s,1,3.9992332458496094
blake2s,1,4.038333892822266
blake2s,1,3.9997100830078125
blake2s,1,3.0934810638427734
blake2s,1,3.9992332458496094
blake3,8,12.130498886108398
blake3,8,12.022256851196289
blake3,8,15.038490295410156
blake3,8,12.599468231201172
blake3,8,12.270212173461914
blake2s,2,6.002664566040039
blake2s,2,7.266521453857422
blake2s,2,8.110284805297852
blake2s,2,7.503271102905273
blake2s,2,7.008075714111328
blake3,16,24.109601974487305
blake3,16,25.60257911682129
blake3,16,25.887250900268555
blake3,16,24.564266204833984
blake3,16,25.974035263061523
blake2s,4,14.01829719543457
blake2s,4,15.05589485168457
blake2s,4,15.914678573608398
blake2s,4,15.0604248046875
blake2s,4,14.793157577514648
blake3,32,51.48959159851074
blake3,32,48.5384464263916
blake3,32,46.08273506164551
blake3,32,46.62060737609863
blake3,32,50.10223388671875
blake2s,8,30.85613250732422
blake2s,8,31.738758087158203
blake2s,8,34.58595275878906
blake2s,8,33.20455551147461
blake2s,8,33.05411338806152
blake2s,16,66.13540649414062
blake2s,16,63.23122978210449
blake2s,16,61.116933822631836
blake2s,16,61.68055534362793
blake2s,16,64.09263610839844
blake3,64,98.62136840820312
blake3,64,98.7858772277832
blake3,64,81.19058609008789
blake3,64,87.20612525939941
blake3,64,83.34136009216309
blake2s,32,120.22852897644043
blake2s,32,127.50983238220215
blake2s,32,125.79202651977539
blake2s,32,116.54019355773926
blake2s,32,123.43645095825195
blake2b,1,3.000020980834961
blake2b,1,2.000093460083008
blake2b,1,3.5066604614257812
blake2b,1,2.0029544830322266
blake2b,1,3.506898880004883
blake2b,2,3.998279571533203
blake2b,2,5.205392837524414
blake2b,2,6.004095077514648
blake2b,2,5.507230758666992
blake2b,2,3.9997100830078125
blake3,128,178.52520942687988
blake3,128,168.4093475341797
blake3,128,137.44354248046875
blake3,128,140.5792236328125
blake3,128,151.68213844299316
blake2b,4,9.509086608886719
blake2b,4,10.508298873901367
blake2b,4,11.076688766479492
blake2b,4,9.592533111572266
blake2b,4,10.51020622253418
blake2b,8,20.669221878051758
blake2b,8,20.0197696685791
blake2b,8,19.524812698364258
blake2b,8,20.018339157104492
blake2b,8,19.3939208984375
blake2b,16,39.41059112548828
blake2b,16,37.12916374206543
blake2b,16,37.61124610900879
blake2b,16,40.288686752319336
blake2b,16,39.11900520324707
blake3,200,250.72288513183594
blake3,200,214.26701545715332
blake3,200,221.8458652496338
blake3,200,206.92753791809082
