Algorithm,Data Size (MB),Iterations,Total Time (ms),Avg Time (ms),Speed (MBps)
md5,1,5,6.999731063842773,1.3999462127685547,3571.5657890255115
md5,2,5,15.540122985839844,3.1080245971679688,3217.477753912243
md5,4,5,29.56223487854004,5.912446975708008,3382.6941843491163
md5,8,5,56.32925033569336,11.265850067138672,3550.5531994142098
md5,16,5,116.31393432617188,23.262786865234375,3438.9688760617887
md5,32,5,234.3423366546631,46.86846733093262,3413.809094081512
md5,64,5,484.8158359527588,96.96316719055176,3300.222231511238
md5,128,5,940.2930736541748,188.05861473083496,3403.1942695952584
md5,200,5,1481.0681343078613,296.21362686157227,3375.9419193341973
md5,512,5,3734.974145889282,746.9948291778564,3427.0652218805044
sha1,1,5,2.9401779174804688,0.5880355834960938,8502.88679857282
sha1,2,5,6.505727767944336,1.3011455535888672,7685.535236559534
sha1,4,5,12.510061264038086,2.502012252807617,7993.56596977378
sha1,8,5,26.024818420410156,5.204963684082031,7684.97196672652
sha1,16,5,53.19952964782715,10.63990592956543,7518.863468303942
sha1,32,5,107.06377029418945,21.41275405883789,7472.182212542701
sha1,64,5,221.86708450317383,44.373416900634766,7211.524880235725
sha1,128,5,442.7473545074463,88.54947090148926,7227.598239542233
sha1,200,5,691.0302639007568,138.20605278015137,7235.573116256572
sha1,512,5,1729.7883033752441,345.9576606750488,7399.749423108041
sha256,1,5,2.999544143676758,0.5999088287353516,8334.599793339163
sha256,2,5,6.531000137329102,1.3062000274658203,7655.795276165443
sha256,4,5,13.054132461547852,2.6108264923095703,7660.409475279894
sha256,8,5,28.143882751464844,5.628776550292969,7106.340008810274
sha256,16,5,63.39883804321289,12.679767608642578,6309.263897350271
sha256,32,5,117.24972724914551,23.4499454498291,6823.043590541318
sha256,64,5,235.14819145202637,47.02963829040527,6804.219884150898
sha256,128,5,471.5704917907715,94.3140983581543,6785.835958157853
sha256,200,5,739.2992973327637,147.85985946655273,6763.160763223972
sha256,512,5,1848.1454849243164,369.6290969848633,6925.861683732206
sha512,1,5,7.002830505371094,1.4005661010742188,3569.9850197466976
sha512,2,5,13.526201248168945,2.705240249633789,3696.529356811732
sha512,4,5,32.53769874572754,6.507539749145508,3073.3581001370235
sha512,8,5,57.82008171081543,11.564016342163086,3459.0058346906376
sha512,16,5,119.0335750579834,23.80671501159668,3360.3964243294618
sha512,32,5,229.32910919189453,45.865821838378906,3488.4363473046424
sha512,64,5,458.33325386047363,91.66665077209473,3490.9096962165304
sha512,128,5,919.135332107544,183.8270664215088,3481.533010663964
sha512,200,5,1412.6555919647217,282.53111839294434,3539.4331275367686
sha512,512,5,3670.0074672698975,734.0014934539795,3487.731323206779
sha3_256,1,5,9.573698043823242,1.9147396087646484,2611.321130618852
sha3_256,2,5,20.021438598632812,4.0042877197265625,2497.3230446794323
sha3_256,4,5,38.59281539916992,7.718563079833984,2591.1558658182494
sha3_256,8,5,81.6199779510498,16.32399559020996,2450.38047081986
sha3_256,16,5,164.9329662322998,32.98659324645996,2425.227710005652
sha3_256,32,5,349.165678024292,69.8331356048584,2291.1759383874573
sha3_256,64,5,624.7761249542236,124.95522499084473,2560.9173207718677
sha3_256,128,5,1343.0118560791016,268.6023712158203,2382.7042073495472
sha3_256,200,5,2017.8413391113281,403.5682678222656,2477.8955129356386
sha3_256,512,5,5138.453960418701,1027.6907920837402,2491.021637752887
blake2s,1,5,10.508298873901367,2.1016597747802734,2379.0720363017585
blake2s,2,5,21.078824996948242,4.215764999389648,2372.0487269683636
blake2s,4,5,42.76275634765625,8.55255126953125,2338.4834968777877
blake2s,8,5,84.81740951538086,16.963481903076172,2358.006465214336
blake2s,16,5,167.79565811157227,33.55913162231445,2383.8519095293173
blake2s,32,5,341.1376476287842,68.22752952575684,2345.0944378632057
blake2s,64,5,695.6586837768555,139.1317367553711,2299.978476964183
blake2s,128,5,1369.2445755004883,273.84891510009766,2337.055086619811
blake2s,200,5,2212.1288776397705,442.4257755279541,2260.266140250719
blake2s,512,5,5494.7829246521,1098.95658493042,2329.482379107893
blake2b,1,5,7.509469985961914,1.5018939971923828,3329.129758389688
blake2b,2,5,13.546466827392578,2.7092933654785156,3690.9993311978596
blake2b,4,5,29.527902603149414,5.905580520629883,3386.6272638454893
blake2b,8,5,60.06026268005371,12.012052536010742,3329.9887658736616
blake2b,16,5,114.28570747375488,22.857141494750977,3500.000208616269
blake2b,32,5,236.42468452453613,47.28493690490723,3383.74142957554
blake2b,64,5,466.6597843170166,93.33195686340332,3428.6219935186655
blake2b,128,5,935.4631900787354,187.09263801574707,3420.765278568219
blake2b,200,5,1595.3800678253174,319.0760135650635,3134.049434888304
blake2b,512,5,3948.6913681030273,789.7382736206055,3241.580262108251
blake3,1,5,2.000093460083008,0.40001869201660156,12499.415901776136
blake3,2,5,4.511117935180664,0.9022235870361328,11083.727075735955
blake3,4,5,8.509159088134766,1.7018318176269531,11752.042588960494
blake3,8,5,18.027305603027344,3.6054611206054688,11094.28133100566
blake3,16,5,37.0633602142334,7.41267204284668,10792.329613071306
blake3,32,5,76.15447044372559,15.230894088745117,10504.964388021852
blake3,64,5,148.71835708618164,29.743671417236328,10758.59114737804
blake3,128,5,299.76606369018555,59.95321273803711,10674.990893256238
blake3,200,5,480.1983833312988,96.03967666625977,10412.363251440594
blake3,512,5,1208.2390785217285,241.6478157043457,10593.929816986803
