Algorithm,Data Size (MB),Timing (ms)
md5,1,0.99945068359375
md5,1,2.0003318786621094
md5,1,0.9999275207519531
md5,1,0.9999275207519531
md5,1,2.000093460083008
md5,2,3.002643585205078
md5,2,3.529787063598633
md5,2,3.0078887939453125
md5,2,3.0002593994140625
md5,2,2.999544143676758
md5,4,5.5637359619140625
md5,4,6.979703903198242
md5,4,5.509138107299805
md5,4,5.562543869018555
md5,4,5.947113037109375
md5,8,10.106086730957031
md5,8,12.017250061035156
md5,8,11.52181625366211
md5,8,11.19375228881836
md5,8,11.490345001220703
md5,16,23.062705993652344
md5,16,22.69124984741211
md5,16,24.01876449584961
md5,16,22.559165954589844
md5,16,23.98204803466797
md5,32,45.0434684753418
md5,32,47.60003089904785
md5,32,46.05269432067871
md5,32,47.09792137145996
md5,32,48.548221588134766
md5,64,97.26715087890625
md5,64,95.68142890930176
md5,64,97.27096557617188
md5,64,98.68979454040527
md5,64,95.90649604797363
md5,128,186.82503700256348
md5,128,192.69990921020508
md5,128,196.0899829864502
md5,128,178.2057285308838
md5,128,186.47241592407227
md5,200,291.88013076782227
md5,200,292.24300384521484
md5,200,297.2269058227539
md5,200,302.626371383667
md5,200,297.0917224884033
md5,512,734.3020439147949
md5,512,755.7992935180664
md5,512,750.272274017334
md5,512,747.0598220825195
md5,512,747.5407123565674
sha1,1,0.9381771087646484
sha1,1,0.0
sha1,1,0.9996891021728516
sha1,1,0.0
sha1,1,1.0023117065429688
sha1,2,2.0003318786621094
sha1,2,0.9999275207519531
sha1,2,1.0020732879638672
sha1,2,0.9977817535400391
sha1,2,1.5056133270263672
sha1,4,2.9993057250976562
sha1,4,2.0003318786621094
sha1,4,2.5031566619873047
sha1,4,3.007173538208008
sha1,4,2.000093460083008
sha1,8,5.007505416870117
sha1,8,5.506038665771484
sha1,8,5.020856857299805
sha1,8,5.4874420166015625
sha1,8,5.0029754638671875
sha1,16,10.535001754760742
sha1,16,10.512590408325195
sha1,16,11.04736328125
sha1,16,10.563850402832031
sha1,16,10.54072380065918
sha1,32,21.69322967529297
sha1,32,21.6982364654541
sha1,32,21.047353744506836
sha1,32,22.066831588745117
sha1,32,20.55811882019043
sha1,64,43.65110397338867
sha1,64,43.538570404052734
sha1,64,45.041799545288086
sha1,64,46.59867286682129
sha1,64,43.03693771362305
sha1,128,87.65673637390137
sha1,128,87.71228790283203
sha1,128,89.60700035095215
sha1,128,89.6153450012207
sha1,128,88.15598487854004
sha1,200,137.1924877166748
sha1,200,136.15036010742188
sha1,200,138.7479305267334
sha1,200,141.20125770568848
sha1,200,137.73822784423828
sha1,512,324.01561737060547
sha1,512,347.2325801849365
sha1,512,354.1529178619385
sha1,512,349.1330146789551
sha1,512,355.2541732788086
sha256,1,0.99945068359375
sha256,1,0.0
sha256,1,0.9999275207519531
sha256,1,1.0001659393310547
sha256,1,0.0
sha256,2,1.5032291412353516
sha256,2,1.0037422180175781
sha256,2,0.9999275207519531
sha256,2,2.0411014556884766
sha256,2,0.9829998016357422
sha256,4,2.5358200073242188
sha256,4,3.025531768798828
sha256,4,1.9867420196533203
sha256,4,3.000020980834961
sha256,4,2.5060176849365234
sha256,8,6.062507629394531
sha256,8,4.986286163330078
sha256,8,6.080150604248047
sha256,8,4.50587272644043
sha256,8,6.509065628051758
sha256,16,13.015270233154297
sha256,16,13.388633728027344
sha256,16,12.393474578857422
sha256,16,12.028694152832031
sha256,16,12.572765350341797
sha256,32,24.133920669555664
sha256,32,23.02241325378418
sha256,32,23.023366928100586
sha256,32,24.028301239013672
sha256,32,23.041725158691406
sha256,64,48.760175704956055
sha256,64,48.01344871520996
sha256,64,46.631813049316406
sha256,64,46.195030212402344
sha256,64,45.5477237701416
sha256,128,94.69103813171387
sha256,128,96.6024398803711
sha256,128,92.3302173614502
sha256,128,93.75715255737305
sha256,128,94.18964385986328
sha256,200,144.4535255432129
sha256,200,147.9029655456543
sha256,200,148.2241153717041
sha256,200,149.33466911315918
sha256,200,149.3840217590332
sha256,512,376.2471675872803
sha256,512,356.9908142089844
sha256,512,362.32995986938477
sha256,512,374.36842918395996
sha256,512,378.20911407470703
sha512,1,2.002239227294922
sha512,1,1.0006427764892578
sha512,1,1.9998550415039062
sha512,1,0.9999275207519531
sha512,1,1.0001659393310547
sha512,2,3.0028820037841797
sha512,2,2.0351409912109375
sha512,2,3.467559814453125
sha512,2,2.028226852416992
sha512,2,2.992391586303711
sha512,4,5.007266998291016
sha512,4,5.507469177246094
sha512,4,7.004022598266602
sha512,4,8.511543273925781
sha512,4,6.507396697998047
sha512,8,11.696577072143555
sha512,8,11.63172721862793
sha512,8,10.43844223022461
sha512,8,12.533187866210938
sha512,8,11.520147323608398
sha512,16,23.852825164794922
sha512,16,24.094343185424805
sha512,16,24.023056030273438
sha512,16,24.043798446655273
sha512,16,23.01955223083496
sha512,32,46.54240608215332
sha512,32,45.108795166015625
sha512,32,45.54605484008789
sha512,32,46.034812927246094
sha512,32,46.0970401763916
sha512,64,90.67225456237793
sha512,64,91.72534942626953
sha512,64,92.60678291320801
sha512,64,92.63157844543457
sha512,64,90.6972885131836
sha512,128,183.3353042602539
sha512,128,186.93828582763672
sha512,128,182.79361724853516
sha512,128,181.962251663208
sha512,128,184.10587310791016
sha512,200,290.9111976623535
sha512,200,283.51330757141113
sha512,200,273.6804485321045
sha512,200,282.6519012451172
sha512,200,281.89873695373535
sha512,512,731.1446666717529
sha512,512,731.194019317627
sha512,512,739.5641803741455
sha512,512,729.691743850708
sha512,512,738.4128570556641
sha3_256,1,2.0308494567871094
sha3_256,1,1.5392303466796875
sha3_256,1,2.0034313201904297
sha3_256,1,1.9998550415039062
sha3_256,1,2.0003318786621094
sha3_256,2,4.003763198852539
sha3_256,2,4.502296447753906
sha3_256,2,4.006624221801758
sha3_256,2,3.999948501586914
sha3_256,2,3.5088062286376953
sha3_256,4,8.005857467651367
sha3_256,4,7.508516311645508
sha3_256,4,8.508682250976562
sha3_256,4,7.5702667236328125
sha3_256,4,6.999492645263672
sha3_256,8,16.011714935302734
sha3_256,8,16.515493392944336
sha3_256,8,17.021894454956055
sha3_256,8,16.5557861328125
sha3_256,8,15.51508903503418
sha3_256,16,31.588077545166016
sha3_256,16,33.406734466552734
sha3_256,16,33.49113464355469
sha3_256,16,32.78517723083496
sha3_256,16,33.661842346191406
sha3_256,32,66.24674797058105
sha3_256,32,70.63579559326172
sha3_256,32,78.98974418640137
sha3_256,32,67.230224609375
sha3_256,32,66.06316566467285
sha3_256,64,126.66010856628418
sha3_256,64,126.70111656188965
sha3_256,64,124.7251033782959
sha3_256,64,122.14446067810059
sha3_256,64,124.54533576965332
sha3_256,128,264.7593021392822
sha3_256,128,281.4154624938965
sha3_256,128,274.6849060058594
sha3_256,128,260.91575622558594
sha3_256,128,261.23642921447754
sha3_256,200,399.1742134094238
sha3_256,200,403.14626693725586
sha3_256,200,409.29126739501953
sha3_256,200,408.1077575683594
sha3_256,200,398.12183380126953
sha3_256,512,1035.1784229278564
sha3_256,512,1027.1999835968018
sha3_256,512,1047.6126670837402
sha3_256,512,994.1368103027344
sha3_256,512,1034.3260765075684
blake2s,1,2.505779266357422
blake2s,1,2.002716064453125
blake2s,1,1.9998550415039062
blake2s,1,2.000093460083008
blake2s,1,1.9998550415039062
blake2s,2,5.03230094909668
blake2s,2,3.540515899658203
blake2s,2,3.9997100830078125
blake2s,2,4.506111145019531
blake2s,2,4.000186920166016
blake2s,4,8.487939834594727
blake2s,4,8.50534439086914
blake2s,4,8.005380630493164
blake2s,4,8.253812789916992
blake2s,4,9.510278701782227
blake2s,8,16.50857925415039
blake2s,8,17.015695571899414
blake2s,8,17.01974868774414
blake2s,8,16.756296157836914
blake2s,8,17.51708984375
blake2s,16,35.52961349487305
blake2s,16,33.03098678588867
blake2s,16,33.55216979980469
blake2s,16,32.523393630981445
blake2s,16,33.159494400024414
blake2s,32,66.72239303588867
blake2s,32,69.8399543762207
blake2s,32,68.61209869384766
blake2s,32,68.1006908416748
blake2s,32,67.86251068115234
blake2s,64,134.27209854125977
blake2s,64,139.76263999938965
blake2s,64,144.46592330932617
blake2s,64,136.8694305419922
blake2s,64,140.2885913848877
blake2s,128,274.01256561279297
blake2s,128,270.5857753753662
blake2s,128,272.9177474975586
blake2s,128,271.8770503997803
blake2s,128,279.85143661499023
blake2s,200,436.967134475708
blake2s,200,461.05122566223145
blake2s,200,440.2599334716797
blake2s,200,438.2750988006592
blake2s,200,435.5754852294922
blake2s,512,1096.9438552856445
blake2s,512,1104.8994064331055
blake2s,512,1085.2735042572021
blake2s,512,1099.9188423156738
blake2s,512,1107.7473163604736
blake2b,1,1.9998550415039062
blake2b,1,1.5032291412353516
blake2b,1,1.0037422180175781
blake2b,1,1.0025501251220703
blake2b,1,2.000093460083008
blake2b,2,3.075838088989258
blake2b,2,2.9685497283935547
blake2b,2,1.9996166229248047
blake2b,2,3.000020980834961
blake2b,2,2.50244140625
blake2b,4,5.508899688720703
blake2b,4,5.99980354309082
blake2b,4,5.510568618774414
blake2b,4,6.502628326416016
blake2b,4,6.006002426147461
blake2b,8,11.509895324707031
blake2b,8,12.017250061035156
blake2b,8,12.514829635620117
blake2b,8,12.507915496826172
blake2b,8,11.510372161865234
blake2b,16,22.521018981933594
blake2b,16,24.07217025756836
blake2b,16,21.55756950378418
blake2b,16,22.63164520263672
blake2b,16,23.50330352783203
blake2b,32,48.604488372802734
blake2b,32,47.599077224731445
blake2b,32,47.59788513183594
blake2b,32,47.0576286315918
blake2b,32,45.56560516357422
blake2b,64,94.84982490539551
blake2b,64,92.47756004333496
blake2b,64,94.07305717468262
blake2b,64,90.7590389251709
blake2b,64,94.50030326843262
blake2b,128,195.3108310699463
blake2b,128,186.4621639251709
blake2b,128,183.51054191589355
blake2b,128,183.28332901000977
blake2b,128,186.89632415771484
blake2b,200,305.2654266357422
blake2b,200,305.8440685272217
blake2b,200,323.4238624572754
blake2b,200,346.9419479370117
blake2b,200,313.9047622680664
blake2b,512,764.4147872924805
blake2b,512,799.3838787078857
blake2b,512,817.4638748168945
blake2b,512,789.1101837158203
blake2b,512,778.3186435699463
blake3,1,0.0
blake3,1,1.0001659393310547
blake3,1,0.0
blake3,1,0.9999275207519531
blake3,1,0.0
blake3,2,1.0008811950683594
blake3,2,0.0
blake3,2,0.9999275207519531
blake3,2,0.0
blake3,2,2.5103092193603516
blake3,4,1.9986629486083984
blake3,4,0.9999275207519531
blake3,4,1.9993782043457031
blake3,4,0.9996891021728516
blake3,4,2.5115013122558594
blake3,8,4.002094268798828
blake3,8,3.544330596923828
blake3,8,2.968311309814453
blake3,8,4.000425338745117
blake3,8,3.512144088745117
blake3,16,7.516145706176758
blake3,16,7.521629333496094
blake3,16,7.513761520385742
blake3,16,5.999088287353516
blake3,16,8.512735366821289
blake3,32,14.592170715332031
blake3,32,16.005754470825195
blake3,32,14.509439468383789
blake3,32,15.535116195678711
blake3,32,15.51198959350586
blake3,64,29.547452926635742
blake3,64,29.05106544494629
blake3,64,29.544830322265625
blake3,64,29.532670974731445
blake3,64,31.04233741760254
blake3,128,60.11462211608887
blake3,128,58.164358139038086
blake3,128,60.75716018676758
blake3,128,60.662031173706055
blake3,128,60.06789207458496
blake3,200,95.25847434997559
blake3,200,95.6118106842041
blake3,200,96.73905372619629
blake3,200,98.8774299621582
blake3,200,93.71161460876465
blake3,512,236.50670051574707
blake3,512,247.9689121246338
blake3,512,244.39096450805664
blake3,512,241.03879928588867
blake3,512,238.33370208740234
