Algorithm,Data Size (MB),Iterations,CPU (%),Peak Memory (MB)
md5,1,5,3.9,84.5859375
md5,2,5,3.3,89.58984375
md5,4,5,3.8,99.59375
md5,8,5,5.7,119.59375
md5,16,5,3.6,159.59375
sha1,1,5,5.0,84.58984375
sha1,2,5,6.5,91.6328125
sha1,4,5,3.2,100.9921875
sha1,8,5,2.8,119.796875
sha1,16,5,2.1,160.34375
sha256,1,5,2.2,85.4140625
sha256,2,5,4.1,92.19140625
sha256,4,5,2.8,101.3984375
sha256,8,5,3.7,120.953125
sha256,16,5,3.2,160.890625
sha512,1,5,3.8,85.984375
sha512,2,5,3.3,92.48046875
sha512,4,5,5.0,101.7421875
sha512,8,5,3.7,121.359375
sha512,16,5,3.5,161.05859375
sha3_256,1,5,3.8,86.375
sha3_256,2,5,9.4,93.35546875
sha3_256,4,5,5.2,101.84375
sha3_256,8,5,1.6,121.69140625
sha3_256,16,5,3.8,160.99609375
blake2s,1,5,6.2,86.0546875
blake2s,2,5,2.9,92.5546875
blake2s,4,5,1.9,102.0390625
blake2s,8,5,2.3,121.8984375
blake2s,16,5,2.4,160.71875
blake2b,1,5,2.8,85.98046875
blake2b,2,5,0.0,92.734375
blake2b,4,5,3.3,101.96875
blake2b,8,5,3.6,121.9140625
blake2b,16,5,1.5,160.69140625
blake3,1,5,0.0,86.0078125
blake3,2,5,0.0,93.25390625
blake3,4,5,0.0,101.99609375
blake3,8,5,0.0,121.97265625
blake3,16,5,0.2,161.2578125
