Algorithm 1,Algorithm 2,T-Value CPU,P-Value CPU,T-Value Memory,P-Value Memory
sha512,sha1,-0.26,0.7985,0.05,0.9604
sha512,md5,-0.57,0.5848,0.10,0.9262
sha512,sha256,0.91,0.3896,0.00,0.9963
sha512,blake2b,0.07,0.9476,0.02,0.9855
sha512,blake2s,0.34,0.7420,-0.00,0.9975
sha512,sha3_256,0.35,0.7349,-0.01,0.9934
sha512,blake3,2.00,0.0908,0.02,0.9851
sha1,md5,-0.33,0.7518,0.04,0.9660
sha1,sha256,1.14,0.2861,-0.05,0.9641
sha1,blake2b,0.40,0.7044,-0.03,0.9746
sha1,blake2s,0.60,0.5663,-0.05,0.9577
sha1,sha3_256,0.58,0.5773,-0.06,0.9539
sha1,blake3,2.26,0.0635,-0.03,0.9751
md5,sha256,1.36,0.2121,-0.09,0.9298
md5,blake2b,0.74,0.4923,-0.08,0.9402
md5,blake2s,0.87,0.4102,-0.10,0.9232
md5,sha3_256,0.84,0.4269,-0.10,0.9196
md5,blake3,2.34,0.0618,-0.08,0.9409
sha256,blake2b,-1.06,0.3348,0.01,0.9892
sha256,blake2s,-0.59,0.5717,-0.01,0.9938
sha256,sha3_256,-0.49,0.6402,-0.01,0.9897
sha256,blake3,0.73,0.4943,0.01,0.9888
blake2b,blake2s,0.37,0.7275,-0.02,0.9829
blake2b,sha3_256,0.36,0.7304,-0.03,0.9789
blake2b,blake3,3.02,0.0169,0.00,0.9995
blake2s,sha3_256,0.05,0.9630,-0.01,0.9958
blake2s,blake3,1.58,0.1642,0.02,0.9825
sha3_256,blake3,1.27,0.2532,0.03,0.9785
