Algorithm,Data Size (MB),Average_CPU_Usage,Peak_Memory
blake2b,1,1.06,108.125
blake2b,2,2.0,108.12890625
blake2b,4,2.2,108.13671875
blake2b,8,2.2399999999999998,108.14453125
blake2b,16,3.88,108.15234375
blake2b,32,2.44,108.15234375
blake2b,64,3.7600000000000002,108.15234375
blake2b,128,2.92,108.15234375
blake2b,200,3.5200000000000005,108.15234375
blake2b,512,3.12,108.15234375
blake2s,1,0.0,108.109375
blake2s,2,0.0,108.109375
blake2s,4,0.0,108.109375
blake2s,8,0.0,108.109375
blake2s,16,0.44000000000000006,108.109375
blake2s,32,3.6399999999999997,108.109375
blake2s,64,3.84,108.171875
blake2s,128,4.2,108.171875
blake2s,200,2.84,108.1171875
blake2s,512,3.54,108.1171875
blake3,1,0.0,108.21875
blake3,2,0.0,108.21875
blake3,4,4.5200000000000005,108.21875
blake3,8,2.7399999999999998,108.21875
blake3,16,3.2399999999999998,108.21875
blake3,32,2.06,108.21875
blake3,64,4.0600000000000005,108.21875
blake3,128,4.2,108.21875
blake3,200,4.64,108.21875
blake3,512,3.8600000000000003,108.21875
md5,1,2.2600000000000002,107.67578125
md5,2,1.54,107.68359375
md5,4,2.4,107.68359375
md5,8,2.0,107.69140625
md5,16,2.94,107.69140625
md5,32,3.04,107.69921875
md5,64,3.16,107.703125
md5,128,3.44,107.70703125
md5,200,3.2399999999999998,107.7109375
md5,512,4.74,107.71875
sha1,1,2.2199999999999998,107.734375
sha1,2,0.0,107.7421875
sha1,4,0.0,107.75
sha1,8,4.0200000000000005,107.7578125
sha1,16,1.92,107.765625
sha1,32,4.54,107.76953125
sha1,64,2.98,107.77734375
sha1,128,3.0,107.78125
sha1,200,2.92,107.7890625
sha1,512,3.22,107.79296875
sha256,1,0.0,107.80859375
sha256,2,0.0,107.8125
sha256,4,1.1199999999999999,107.8203125
sha256,8,5.28,107.82421875
sha256,16,3.72,107.83203125
sha256,32,3.8200000000000003,107.84375
sha256,64,3.3200000000000003,107.84765625
sha256,128,2.2199999999999998,107.85546875
sha256,200,2.44,107.859375
sha256,512,3.5799999999999996,107.8671875
sha3_256,1,4.0,107.99609375
sha3_256,2,0.0,108.0
sha3_256,4,2.2399999999999998,108.0078125
sha3_256,8,2.2,108.01171875
sha3_256,16,2.2600000000000002,108.01953125
sha3_256,32,1.9799999999999998,108.0234375
sha3_256,64,2.92,108.0859375
sha3_256,128,3.1799999999999997,108.0859375
sha3_256,200,2.82,108.09375
sha3_256,512,2.92,108.09375
sha512,1,0.0,107.890625
sha512,2,5.56,107.90234375
sha512,4,1.1199999999999999,107.90625
sha512,8,1.98,107.9140625
sha512,16,4.12,107.91796875
sha512,32,4.12,107.92578125
sha512,64,3.8200000000000003,107.9296875
sha512,128,2.9,107.94140625
sha512,200,3.8,107.94921875
sha512,512,2.84,107.984375
