Algorithm,Data Size (MB),CPU (%),Peak Memory (MB)
md5,1,2.4,107.63671875
md5,1,0.0,107.63671875
md5,1,0.0,107.63671875
md5,1,0.0,107.63671875
md5,1,0.0,107.63671875
md5,2,0.0,107.640625
md5,2,0.0,107.640625
md5,2,8.3,107.640625
md5,2,0.0,107.640625
md5,2,0.0,107.640625
md5,4,0.0,107.6484375
md5,4,0.0,107.6484375
md5,4,0.0,107.6484375
md5,4,0.0,107.6484375
md5,4,0.0,107.6484375
md5,8,0.0,107.65625
md5,8,5.3,107.65625
md5,8,16.7,107.65625
md5,8,0.0,107.65625
md5,8,0.0,107.65625
md5,16,5.3,107.65625
md5,16,2.3,107.65625
md5,16,0.0,107.65625
md5,16,7.7,107.65625
md5,16,4.8,107.65625
md5,32,1.4,107.6640625
md5,32,2.9,107.6640625
md5,32,3.4,107.6640625
md5,32,3.0,107.6640625
md5,32,7.8,107.6640625
md5,64,5.0,107.66796875
md5,64,4.5,107.66796875
md5,64,3.4,107.66796875
md5,64,3.6,107.66796875
md5,64,2.8,107.66796875
md5,128,5.1,107.67578125
md5,128,5.5,107.67578125
md5,128,3.8,107.67578125
md5,128,3.4,107.67578125
md5,128,5.2,107.67578125
md5,200,3.1,107.6796875
md5,200,2.6,107.6796875
md5,200,3.5,107.6796875
md5,200,2.7,107.6796875
md5,200,4.2,107.6796875
md5,512,4.3,107.6875
md5,512,3.6,107.6875
md5,512,3.8,107.6875
md5,512,4.1,107.6875
md5,512,5.3,107.6875
sha1,1,0.0,107.703125
sha1,1,0.0,107.703125
sha1,1,50.0,107.703125
sha1,1,0.0,107.703125
sha1,1,0.0,107.703125
sha1,2,0.0,107.7109375
sha1,2,0.0,107.7109375
sha1,2,0.0,107.7109375
sha1,2,0.0,107.7109375
sha1,2,0.0,107.7109375
sha1,4,0.0,107.71875
sha1,4,0.0,107.71875
sha1,4,0.0,107.71875
sha1,4,0.0,107.71875
sha1,4,25.0,107.71875
sha1,8,0.0,107.72265625
sha1,8,14.3,107.72265625
sha1,8,0.0,107.72265625
sha1,8,10.0,107.72265625
sha1,8,0.0,107.72265625
sha1,16,6.2,107.734375
sha1,16,4.2,107.734375
sha1,16,5.0,107.734375
sha1,16,0.0,107.734375
sha1,16,3.8,107.734375
sha1,32,7.7,107.73828125
sha1,32,2.4,107.73828125
sha1,32,2.9,107.73828125
sha1,32,5.4,107.73828125
sha1,32,2.5,107.73828125
sha1,64,5.1,107.74609375
sha1,64,4.2,107.74609375
sha1,64,7.2,107.74609375
sha1,64,4.0,107.74609375
sha1,64,1.1,107.74609375
sha1,128,7.7,107.75
sha1,128,1.8,107.75
sha1,128,3.6,107.75
sha1,128,2.9,107.75
sha1,128,7.3,107.75
sha1,200,3.8,107.7578125
sha1,200,2.4,107.7578125
sha1,200,6.1,107.7578125
sha1,200,3.6,107.7578125
sha1,200,4.5,107.7578125
sha1,512,4.0,107.76171875
sha1,512,4.1,107.76171875
sha1,512,2.9,107.76171875
sha1,512,5.4,107.76171875
sha1,512,7.4,107.76171875
sha256,1,0.0,107.77734375
sha256,1,0.0,107.77734375
sha256,1,0.0,107.77734375
sha256,1,0.0,107.77734375
sha256,1,14.3,107.77734375
sha256,2,0.0,107.78125
sha256,2,0.0,107.78125
sha256,2,0.0,107.78125
sha256,2,0.0,107.78125
sha256,2,0.0,107.78125
sha256,4,0.0,107.7890625
sha256,4,13.3,107.7890625
sha256,4,0.0,107.7890625
sha256,4,0.0,107.7890625
sha256,4,0.0,107.7890625
sha256,8,7.1,107.79296875
sha256,8,7.1,107.79296875
sha256,8,0.0,107.79296875
sha256,8,4.8,107.79296875
sha256,8,0.0,107.79296875
sha256,16,6.7,107.80078125
sha256,16,4.8,107.80078125
sha256,16,2.6,107.80078125
sha256,16,14.3,107.80078125
sha256,16,4.2,107.80078125
sha256,32,17.0,107.80859375
sha256,32,7.7,107.80859375
sha256,32,7.5,107.80859375
sha256,32,2.5,107.80859375
sha256,32,2.4,107.80859375
sha256,64,5.6,107.8125
sha256,64,4.9,107.8125
sha256,64,7.7,107.8125
sha256,64,4.4,107.8125
sha256,64,5.1,107.8125
sha256,128,7.7,107.82421875
sha256,128,6.5,107.82421875
sha256,128,4.4,107.82421875
sha256,128,8.6,107.82421875
sha256,128,6.2,107.82421875
sha256,200,7.8,107.828125
sha256,200,5.9,107.828125
sha256,200,5.7,107.828125
sha256,200,8.6,107.828125
sha256,200,4.4,107.828125
sha256,512,7.4,107.8359375
sha256,512,7.1,107.8359375
sha256,512,5.1,107.8359375
