Algorithm,Data Size (MB),Iterations,Total Time (ms),Avg Time (ms),Speed (MBps)
blake3,1,5,11.42120361328125,2.28424072265625,2188.911155644623
blake3,2,5,23.61917495727539,4.723834991455078,2116.9240708214725
blake3,4,5,51.76877975463867,10.353755950927734,1931.6661600670554
blake2s,1,5,21.533727645874023,4.306745529174805,1160.9694527175898
blake3,8,5,107.35154151916504,21.470308303833008,1863.0379887399642
blake2s,2,5,41.50891304016113,8.301782608032227,1204.5605711627159
blake2s,4,5,78.38177680969238,15.676355361938477,1275.806750882871
blake3,16,5,198.2569694519043,39.65139389038086,2017.58354879442
blake2s,8,5,154.41083908081055,30.88216781616211,1295.2458596208423
blake3,32,5,397.95899391174316,79.59179878234863,2010.2573688218213
blake2s,16,5,309.2513084411621,61.85026168823242,1293.4464271671907
blake3,64,5,757.9388618469238,151.58777236938477,2110.9882083380257
blake2s,32,5,610.2118492126465,122.0423698425293,1311.0201006949246
blake2b,1,5,15.068769454956055,3.013753890991211,1659.0604876350806
blake2b,2,5,22.819042205810547,4.563808441162109,2191.1524396614773
blake2b,4,5,52.67906188964844,10.535812377929688,1898.2874108403635
blake2b,8,5,109.47966575622559,21.895933151245117,1826.8232609088593
blake2b,16,5,214.37835693359375,42.87567138671875,1865.8599950176163
blake3,128,5,1334.7461223602295,266.9492244720459,2397.4596714627983
blake2s,64,5,1160.6054306030273,232.12108612060547,1378.5908266590413
blake2b,32,5,426.1054992675781,85.22109985351562,1877.4693154045174
blake3,200,5,1996.6981410980225,399.3396282196045,2504.1341488155063
blake2b,64,5,842.2691822052002,168.45383644104004,1899.6302296267506
sha256,1,5,9.402036666870117,1.8804073333740234,2658.998351718017
sha256,2,5,22.129297256469727,4.425859451293945,2259.448161435944
sha256,4,5,34.69347953796387,6.938695907592773,2882.386008315294
sha256,8,5,66.44248962402344,13.288497924804688,3010.122003731879
sha256,16,5,139.29057121276855,27.85811424255371,2871.694735094407
blake2s,128,5,2265.6445503234863,453.12891006469727,1412.4016053370365
sha256,32,5,276.06797218322754,55.21359443664551,2897.8370568427854
blake2b,128,5,1732.628345489502,346.5256690979004,1846.9050263032238
sha256,64,5,591.0043716430664,118.20087432861328,2707.2557780779166
sha256,128,5,1221.3108539581299,244.26217079162598,2620.135561416787
blake2s,200,5,3468.843460083008,693.7686920166016,1441.402605086236
blake2b,200,5,2650.970935821533,530.1941871643066,1886.1014024850126
sha256,200,5,1343.6126708984375,268.7225341796875,3721.3105445460224
blake3,512,5,4380.423545837402,876.0847091674805,2922.0918630490637
sha256,512,5,1768.4314250946045,353.6862850189209,7238.052784158847
blake2b,512,5,3945.1842308044434,789.0368461608887,3244.4619189279315
blake2s,512,5,6072.994947433472,1214.5989894866943,2107.6915279518635
