Algorithm,Data Size (MB),Timing (ms)
blake3,1,1.1181831359863281
blake3,1,2.329111099243164
blake3,1,2.627134323120117
blake3,1,2.4487972259521484
blake3,1,2.897977828979492
blake3,2,5.463123321533203
blake3,2,4.554986953735352
blake3,2,4.966974258422852
blake3,2,4.594087600708008
blake3,2,4.040002822875977
blake3,4,8.928060531616211
blake3,4,9.325027465820312
blake3,4,8.540868759155273
blake3,4,10.786056518554688
blake3,4,14.188766479492188
blake2s,1,4.271030426025391
blake2s,1,4.157781600952148
blake2s,1,4.823207855224609
blake2s,1,3.0808448791503906
blake2s,1,5.200862884521484
blake3,8,20.2329158782959
blake3,8,25.127887725830078
blake3,8,23.138761520385742
blake3,8,19.077062606811523
blake3,8,19.774913787841797
blake2s,2,8.955955505371094
blake2s,2,7.306098937988281
blake2s,2,9.576797485351562
blake2s,2,8.394002914428711
blake2s,2,7.276058197021484
blake2s,4,18.83077621459961
blake2s,4,14.184951782226562
blake2s,4,13.844966888427734
blake2s,4,15.236139297485352
blake2s,4,16.284942626953125
blake3,16,47.136783599853516
blake3,16,41.17012023925781
blake3,16,38.57898712158203
blake3,16,34.85107421875
blake3,16,36.52000427246094
blake2s,8,30.88092803955078
blake2s,8,30.989885330200195
blake2s,8,32.93299674987793
blake2s,8,30.320167541503906
blake2s,8,29.286861419677734
blake3,32,81.42423629760742
blake3,32,71.75016403198242
blake3,32,77.55184173583984
blake3,32,77.18896865844727
blake3,32,90.04378318786621
blake2s,16,63.78293037414551
blake2s,16,58.769941329956055
blake2s,16,70.36423683166504
blake2s,16,57.851314544677734
blake2s,16,58.48288536071777
blake3,64,153.83195877075195
blake3,64,166.36371612548828
blake3,64,148.22721481323242
blake3,64,146.69299125671387
blake3,64,142.8229808807373
blake2s,32,136.13295555114746
blake2s,32,118.51716041564941
blake2s,32,115.27705192565918
blake2s,32,115.74769020080566
blake2s,32,124.53699111938477
blake2b,1,2.360820770263672
blake2b,1,4.071950912475586
blake2b,1,2.6769638061523438
blake2b,1,3.365039825439453
blake2b,1,2.593994140625
blake2b,2,4.373073577880859
blake2b,2,5.640268325805664
blake2b,2,4.128694534301758
blake2b,2,5.270957946777344
blake2b,2,3.406047821044922
blake2b,4,10.644912719726562
blake2b,4,9.110212326049805
blake2b,4,11.186838150024414
blake2b,4,12.933015823364258
blake2b,4,8.804082870483398
blake2b,8,22.145748138427734
blake2b,8,18.056869506835938
blake2b,8,26.414155960083008
blake2b,8,20.596027374267578
blake2b,8,22.266864776611328
blake2b,16,41.9011116027832
blake2b,16,42.21200942993164
blake2b,16,40.36712646484375
blake2b,16,47.215938568115234
blake2b,16,42.68217086791992
blake3,128,299.1487979888916
blake3,128,290.30919075012207
blake3,128,252.40707397460938
blake3,128,236.7861270904541
blake3,128,256.09493255615234
blake2s,64,248.04186820983887
blake2s,64,229.59589958190918
blake2s,64,238.8448715209961
blake2s,64,222.61381149291992
blake2s,64,221.50897979736328
blake2b,32,84.18416976928711
blake2b,32,91.10617637634277
blake2b,32,81.61091804504395
blake2b,32,85.61015129089355
blake2b,32,83.59408378601074
blake3,200,424.4580268859863
blake3,200,391.024112701416
blake3,200,391.27588272094727
blake3,200,390.6669616699219
blake3,200,399.273157119751
blake2b,64,176.0270595550537
blake2b,64,165.48705101013184
blake2b,64,162.15181350708008
blake2b,64,171.74410820007324
blake2b,64,166.85914993286133
sha256,1,1.1670589447021484
sha256,1,1.2738704681396484
sha256,1,2.3331642150878906
sha256,1,2.7458667755126953
sha256,1,1.8820762634277344
sha256,2,3.2091140747070312
sha256,2,4.973173141479492
sha256,2,4.463911056518555
sha256,2,5.829095840454102
sha256,2,3.654003143310547
sha256,4,6.527900695800781
sha256,4,7.8277587890625
sha256,4,7.246971130371094
sha256,4,6.685018539428711
sha256,4,6.405830383300781
sha256,8,15.99884033203125
sha256,8,12.759208679199219
sha256,8,13.868093490600586
sha256,8,11.897087097167969
sha256,8,11.919260025024414
sha256,16,28.9919376373291
sha256,16,29.376983642578125
sha256,16,29.72102165222168
sha256,16,25.90489387512207
sha256,16,25.295734405517578
blake2s,128,463.36913108825684
blake2s,128,447.7357864379883
blake2s,128,454.0448188781738
blake2s,128,452.65698432922363
blake2s,128,447.83782958984375
sha256,32,51.715850830078125
sha256,32,51.38897895812988
sha256,32,57.38496780395508
sha256,32,55.86528778076172
sha256,32,59.712886810302734
blake2b,128,336.2541198730469
blake2b,128,351.43017768859863
blake2b,128,341.6028022766113
blake2b,128,345.2751636505127
blake2b,128,358.0660820007324
sha256,64,113.34490776062012
sha256,64,118.40510368347168
sha256,64,117.4001693725586
sha256,64,116.67919158935547
sha256,64,125.17499923706055
sha256,128,236.8600368499756
sha256,128,250.03695487976074
sha256,128,239.14003372192383
sha256,128,251.52301788330078
sha256,128,243.75081062316895
blake2s,200,682.142972946167
blake2s,200,713.2778167724609
blake2s,200,689.5396709442139
blake2s,200,702.3200988769531
blake2s,200,681.5629005432129
blake2b,200,527.0199775695801
blake2b,200,572.5648403167725
blake2b,200,567.223072052002
blake2b,200,552.7169704437256
blake2b,200,431.4460754394531
sha256,200,377.2878646850586
sha256,200,319.35787200927734
sha256,200,255.6779384613037
sha256,200,193.2840347290039
sha256,200,198.00496101379395
blake3,512,979.5198440551758
blake3,512,995.1200485229492
blake3,512,1092.1967029571533
blake3,512,811.5031719207764
blake3,512,502.08377838134766
sha256,512,571.7389583587646
sha256,512,369.33183670043945
sha256,512,275.9678363800049
sha256,512,274.75881576538086
sha256,512,276.63397789001465
blake2b,512,1297.7831363677979
blake2b,512,771.7719078063965
blake2b,512,634.3591213226318
blake2b,512,614.4709587097168
blake2b,512,626.7991065979004
blake2s,512,1778.2280445098877
blake2s,512,1342.4828052520752
blake2s,512,990.8742904663086
blake2s,512,982.8228950500488
blake2s,512,978.5869121551514
