Algorithm,Data Size (MB),Timing (ms)
md5,1,2.0732879638671875
md5,1,2.782106399536133
md5,1,2.3169517517089844
md5,1,2.55584716796875
md5,1,2.341032028198242
md5,2,4.195690155029297
md5,2,5.167961120605469
md5,2,4.742145538330078
md5,2,4.185676574707031
md5,2,5.685091018676758
md5,4,9.848833084106445
md5,4,8.708953857421875
md5,4,9.28187370300293
md5,4,8.170604705810547
md5,4,8.278846740722656
md5,8,16.487836837768555
md5,8,18.082141876220703
md5,8,16.326904296875
md5,8,17.19188690185547
md5,8,16.10589027404785
md5,16,33.22100639343262
md5,16,33.47039222717285
md5,16,33.032894134521484
md5,16,33.14614295959473
md5,16,34.0878963470459
md5,32,65.49406051635742
md5,32,72.88408279418945
md5,32,71.35581970214844
md5,32,66.86687469482422
md5,32,67.3532485961914
md5,64,135.0078582763672
md5,64,142.3351764678955
md5,64,137.83025741577148
md5,64,132.62200355529785
md5,64,131.74986839294434
md5,128,260.91980934143066
md5,128,259.25302505493164
md5,128,260.18309593200684
md5,128,261.76905632019043
md5,128,258.7890625
md5,200,408.57815742492676
md5,200,403.42211723327637
md5,200,583.6029052734375
md5,200,425.5547523498535
md5,200,447.70193099975586
md5,512,1044.4221496582031
md5,512,1067.249059677124
md5,512,1042.7789688110352
md5,512,1061.03515625
md5,512,1037.2419357299805
sha1,1,0.5331039428710938
sha1,1,0.4820823669433594
sha1,1,0.4870891571044922
sha1,1,0.47278404235839844
sha1,1,0.47516822814941406
sha1,2,0.9779930114746094
sha1,2,0.9829998016357422
sha1,2,0.9968280792236328
sha1,2,2.371072769165039
sha1,2,1.1219978332519531
sha1,4,2.187013626098633
sha1,4,2.0177364349365234
sha1,4,1.9838809967041016
sha1,4,2.033233642578125
sha1,4,2.0279884338378906
sha1,8,3.9339065551757812
sha1,8,3.9780139923095703
sha1,8,4.260063171386719
sha1,8,4.244089126586914
sha1,8,4.060983657836914
sha1,16,7.815837860107422
sha1,16,7.916927337646484
sha1,16,8.772134780883789
sha1,16,8.630037307739258
sha1,16,7.676839828491211
sha1,32,16.36195182800293
sha1,32,16.528844833374023
sha1,32,16.67022705078125
sha1,32,16.402006149291992
sha1,32,17.225027084350586
sha1,64,35.185813903808594
sha1,64,32.95302391052246
sha1,64,33.48398208618164
sha1,64,33.514976501464844
sha1,64,33.36191177368164
sha1,128,67.45719909667969
sha1,128,70.34492492675781
sha1,128,69.52595710754395
sha1,128,66.90096855163574
sha1,128,68.38297843933105
sha1,200,107.43021965026855
sha1,200,104.8729419708252
sha1,200,104.74991798400879
sha1,200,106.28604888916016
sha1,200,104.34699058532715
sha1,512,267.87495613098145
sha1,512,268.43881607055664
sha1,512,269.47498321533203
sha1,512,271.78406715393066
sha1,512,271.52514457702637
sha256,1,0.492095947265625
sha256,1,0.5271434783935547
sha256,1,0.4677772521972656
sha256,1,0.4780292510986328
sha256,1,0.4601478576660156
sha256,2,1.0180473327636719
sha256,2,0.9751319885253906
sha256,2,0.9622573852539062
sha256,2,1.1038780212402344
sha256,2,0.9729862213134766
sha256,4,2.0399093627929688
sha256,4,2.0020008087158203
sha256,4,1.9619464874267578
sha256,4,2.2630691528320312
sha256,4,2.421140670776367
sha256,8,3.973245620727539
sha256,8,3.8111209869384766
sha256,8,3.9229393005371094
sha256,8,3.9641857147216797
sha256,8,4.199981689453125
sha256,16,9.364843368530273
sha256,16,7.755041122436523
sha256,16,8.015155792236328
sha256,16,8.292913436889648
sha256,16,8.688211441040039
sha256,32,17.214059829711914
sha256,32,15.743017196655273
sha256,32,17.306804656982422
sha256,32,15.728950500488281
sha256,32,17.4710750579834
sha256,64,33.45799446105957
sha256,64,33.15091133117676
sha256,64,32.40489959716797
sha256,64,33.530235290527344
sha256,64,32.68885612487793
sha256,128,66.497802734375
sha256,128,67.62814521789551
sha256,128,65.2921199798584
sha256,128,66.02096557617188
sha256,128,66.3449764251709
sha256,200,103.57117652893066
sha256,200,103.96790504455566
sha256,200,104.42519187927246
sha256,200,103.72495651245117
sha256,200,103.61599922180176
sha256,512,265.60306549072266
sha256,512,264.3311023712158
sha256,512,266.98970794677734
sha256,512,265.7439708709717
sha256,512,269.6399688720703
sha512,1,0.7951259613037109
sha512,1,0.7719993591308594
sha512,1,0.7679462432861328
sha512,1,0.7848739624023438
sha512,1,0.7863044738769531
sha512,2,1.4851093292236328
sha512,2,1.5087127685546875
sha512,2,1.5480518341064453
sha512,2,1.5492439270019531
sha512,2,1.5490055084228516
sha512,4,3.3059120178222656
sha512,4,3.1270980834960938
sha512,4,3.473997116088867
sha512,4,3.898143768310547
sha512,4,3.225088119506836
sha512,8,6.209135055541992
sha512,8,6.378889083862305
sha512,8,6.8302154541015625
sha512,8,7.076740264892578
sha512,8,6.041049957275391
sha512,16,14.037847518920898
sha512,16,12.34889030456543
sha512,16,12.787818908691406
sha512,16,13.749122619628906
sha512,16,12.488842010498047
sha512,32,26.801347732543945
sha512,32,25.68984031677246
sha512,32,26.68309211730957
sha512,32,30.086994171142578
sha512,32,26.800870895385742
sha512,64,53.31730842590332
sha512,64,55.2220344543457
sha512,64,53.421974182128906
sha512,64,53.40075492858887
sha512,64,52.274227142333984
sha512,128,107.14268684387207
sha512,128,105.36408424377441
sha512,128,100.65412521362305
sha512,128,103.7299633026123
sha512,128,100.4328727722168
sha512,200,153.98001670837402
sha512,200,153.79095077514648
sha512,200,154.58202362060547
sha512,200,154.8290252685547
sha512,200,154.35194969177246
sha512,512,394.0250873565674
sha512,512,396.64697647094727
sha512,512,403.7020206451416
sha512,512,394.80113983154297
sha512,512,398.84400367736816
sha3_256,1,1.5909671783447266
sha3_256,1,1.5759468078613281
sha3_256,1,1.5680789947509766
sha3_256,1,1.5931129455566406
sha3_256,1,1.6078948974609375
sha3_256,2,3.159046173095703
sha3_256,2,3.1359195709228516
sha3_256,2,3.1409263610839844
sha3_256,2,3.1311511993408203
sha3_256,2,3.1328201293945312
sha3_256,4,6.411075592041016
sha3_256,4,6.356954574584961
sha3_256,4,6.279945373535156
sha3_256,4,6.309747695922852
sha3_256,4,6.287097930908203
sha3_256,8,12.79592514038086
sha3_256,8,12.697219848632812
sha3_256,8,12.835025787353516
sha3_256,8,12.737751007080078
sha3_256,8,12.635231018066406
sha3_256,16,25.90799331665039
sha3_256,16,25.471925735473633
sha3_256,16,25.580167770385742
sha3_256,16,25.59494972229004
sha3_256,16,25.52485466003418
sha3_256,32,51.422834396362305
sha3_256,32,51.683664321899414
sha3_256,32,51.3608455657959
sha3_256,32,51.2239933013916
sha3_256,32,51.35989189147949
sha3_256,64,103.10196876525879
sha3_256,64,103.34324836730957
sha3_256,64,102.82087326049805
sha3_256,64,105.34310340881348
sha3_256,64,104.20012474060059
sha3_256,128,206.59494400024414
