Algorithm,Data Size (MB),Average_CPU_Usage,Peak_Memory
blake2b,1,60.0,9.90625
blake2b,2,5.720000000000001,9.90625
blake2b,4,0.0,9.90625
blake2b,8,0.0,9.90625
blake2b,16,0.0,9.90625
blake2b,32,0.0,9.90625
blake2b,64,0.0,9.90625
blake2b,128,16.419999999999998,9.90625
blake2b,200,33.18,9.828125
blake2b,512,44.339999999999996,9.828125
blake2s,1,48.58,10.03125
blake2s,2,10.66,10.0625
blake2s,4,0.0,10.09375
blake2s,8,0.0,10.09375
blake2s,16,0.0,10.09375
blake2s,32,0.0,10.109375
blake2s,64,16.82,10.109375
blake2s,128,24.860000000000003,10.109375
blake2s,200,37.46,9.890625
blake2s,512,42.22,9.890625
blake3,1,30.0,9.890625
blake3,2,0.0,10.078125
blake3,4,0.0,10.1875
blake3,8,0.0,10.203125
blake3,16,0.0,10.203125
blake3,32,0.0,10.234375
blake3,64,0.0,10.234375
blake3,128,46.44,10.0625
blake3,200,44.18,10.0625
blake3,512,47.86,10.0625
md5,1,41.660000000000004,134.40625
md5,2,0.0,134.40625
md5,4,0.0,134.40625
md5,8,0.0,134.40625
md5,16,0.0,134.40625
md5,32,0.0,134.40625
md5,64,15.959999999999999,134.40625
md5,128,24.04,134.40625
md5,200,43.36,123.828125
md5,512,45.980000000000004,108.515625
sha1,1,20.0,108.59375
sha1,2,8.0,108.59375
sha1,4,0.0,108.609375
sha1,8,0.0,108.21875
sha1,16,0.0,108.234375
sha1,32,0.0,108.234375
sha1,64,0.0,108.234375
sha1,128,0.0,108.234375
sha1,200,32.96,108.234375
sha1,512,35.18,106.703125
sha256,1,40.0,106.71875
sha256,2,0.0,106.71875
sha256,4,0.0,106.71875
sha256,8,0.0,106.734375
sha256,16,0.0,106.75
sha256,32,0.0,106.75
sha256,64,0.0,106.78125
sha256,128,0.0,106.78125
sha256,200,36.760000000000005,106.78125
sha256,512,42.480000000000004,106.78125
sha3_256,1,0.0,17.578125
sha3_256,2,0.0,17.578125
sha3_256,4,0.0,17.578125
sha3_256,8,0.0,15.546875
sha3_256,16,19.080000000000002,15.1875
sha3_256,32,0.0,15.1875
sha3_256,64,27.02,11.0
sha3_256,128,40.839999999999996,10.578125
sha3_256,200,47.4,10.265625
sha3_256,512,48.28,10.1875
sha512,1,0.0,106.40625
sha512,2,0.0,106.453125
sha512,4,0.0,106.453125
sha512,8,0.0,106.453125
sha512,16,0.0,106.453125
sha512,32,0.0,106.46875
sha512,64,0.0,106.46875
sha512,128,27.76,106.46875
sha512,200,16.419999999999998,64.796875
sha512,512,40.660000000000004,52.921875
