Algorithm,Data Size (MB),CPU (%),Peak Memory (MB)
md5,1,58.3,134.40625
md5,1,100.0,134.40625
md5,1,50.0,134.40625
md5,1,0.0,134.40625
md5,1,0.0,134.40625
md5,2,0.0,134.40625
md5,2,0.0,134.40625
md5,2,0.0,134.40625
md5,2,0.0,134.40625
md5,2,0.0,134.40625
md5,4,0.0,134.40625
md5,4,0.0,134.40625
md5,4,0.0,134.40625
md5,4,0.0,134.40625
md5,4,0.0,134.40625
md5,8,0.0,134.40625
md5,8,0.0,134.40625
md5,8,0.0,134.40625
md5,8,0.0,134.40625
md5,8,0.0,134.40625
md5,16,0.0,134.40625
md5,16,0.0,134.40625
md5,16,0.0,134.40625
md5,16,0.0,134.40625
md5,16,0.0,134.40625
md5,32,0.0,134.40625
md5,32,0.0,134.40625
md5,32,0.0,134.40625
md5,32,0.0,134.40625
md5,32,0.0,134.40625
md5,64,0.0,134.40625
md5,64,41.8,134.40625
md5,64,38.0,134.40625
md5,64,0.0,134.40625
md5,64,0.0,134.40625
md5,128,0.0,134.40625
md5,128,41.7,134.40625
md5,128,38.8,134.40625
md5,128,39.7,134.40625
md5,128,0.0,134.40625
md5,200,44.5,123.828125
md5,200,42.7,123.828125
md5,200,48.3,123.828125
md5,200,39.9,123.828125
md5,200,41.4,123.828125
md5,512,51.0,108.515625
md5,512,44.1,108.515625
md5,512,42.3,108.515625
md5,512,39.7,108.515625
md5,512,52.8,108.515625
sha1,1,100.0,108.59375
sha1,1,0.0,108.59375
sha1,1,0.0,108.59375
sha1,1,0.0,108.59375
sha1,1,0.0,108.59375
sha1,2,40.0,108.59375
sha1,2,0.0,108.59375
sha1,2,0.0,108.59375
sha1,2,0.0,108.59375
sha1,2,0.0,108.59375
sha1,4,0.0,108.609375
sha1,4,0.0,108.609375
sha1,4,0.0,108.609375
sha1,4,0.0,108.609375
sha1,4,0.0,108.609375
sha1,8,0.0,108.21875
sha1,8,0.0,108.21875
sha1,8,0.0,108.21875
sha1,8,0.0,108.21875
sha1,8,0.0,108.21875
sha1,16,0.0,108.234375
sha1,16,0.0,108.234375
sha1,16,0.0,108.234375
sha1,16,0.0,108.234375
sha1,16,0.0,108.234375
sha1,32,0.0,108.234375
sha1,32,0.0,108.234375
sha1,32,0.0,108.234375
sha1,32,0.0,108.234375
sha1,32,0.0,108.234375
sha1,64,0.0,108.234375
sha1,64,0.0,108.234375
sha1,64,0.0,108.234375
sha1,64,0.0,108.234375
sha1,64,0.0,108.234375
sha1,128,0.0,108.234375
sha1,128,0.0,108.234375
sha1,128,0.0,108.234375
sha1,128,0.0,108.234375
sha1,128,0.0,108.234375
sha1,200,44.1,108.234375
sha1,200,39.3,108.234375
sha1,200,38.5,108.234375
sha1,200,42.9,108.234375
sha1,200,0.0,108.234375
sha1,512,0.0,106.703125
sha1,512,39.0,106.703125
sha1,512,42.7,106.703125
sha1,512,38.8,106.703125
sha1,512,55.4,106.703125
sha256,1,100.0,106.71875
sha256,1,0.0,106.71875
sha256,1,0.0,106.71875
sha256,1,100.0,106.71875
sha256,1,0.0,106.71875
sha256,2,0.0,106.71875
sha256,2,0.0,106.71875
sha256,2,0.0,106.71875
sha256,2,0.0,106.71875
sha256,2,0.0,106.71875
sha256,4,0.0,106.71875
sha256,4,0.0,106.71875
sha256,4,0.0,106.71875
sha256,4,0.0,106.71875
sha256,4,0.0,106.71875
sha256,8,0.0,106.734375
sha256,8,0.0,106.734375
sha256,8,0.0,106.734375
sha256,8,0.0,106.734375
sha256,8,0.0,106.734375
sha256,16,0.0,106.75
sha256,16,0.0,106.75
sha256,16,0.0,106.75
sha256,16,0.0,106.75
sha256,16,0.0,106.75
sha256,32,0.0,106.75
sha256,32,0.0,106.75
sha256,32,0.0,106.75
sha256,32,0.0,106.75
sha256,32,0.0,106.75
sha256,64,0.0,106.78125
sha256,64,0.0,106.78125
sha256,64,0.0,106.78125
sha256,64,0.0,106.78125
sha256,64,0.0,106.78125
sha256,128,0.0,106.78125
sha256,128,0.0,106.78125
sha256,128,0.0,106.78125
sha256,128,0.0,106.78125
sha256,128,0.0,106.78125
sha256,200,0.0,106.78125
sha256,200,43.5,106.78125
sha256,200,47.2,106.78125
sha256,200,42.2,106.78125
sha256,200,50.9,106.78125
sha256,512,40.6,106.78125
sha256,512,43.7,106.78125
sha256,512,43.0,106.78125
sha256,512,41.0,106.78125
sha256,512,44.1,106.78125
sha512,1,0.0,106.40625
sha512,1,0.0,106.40625
sha512,1,0.0,106.40625
sha512,1,0.0,106.40625
sha512,1,0.0,106.40625
sha512,2,0.0,106.453125
sha512,2,0.0,106.453125
sha512,2,0.0,106.453125
sha512,2,0.0,106.453125
sha512,2,0.0,106.453125
sha512,4,0.0,106.453125
sha512,4,0.0,106.453125
sha512,4,0.0,106.453125
sha512,4,0.0,106.453125
sha512,4,0.0,106.453125
sha512,8,0.0,106.453125
sha512,8,0.0,106.453125
sha512,8,0.0,106.453125
sha512,8,0.0,106.453125
sha512,8,0.0,106.453125
sha512,16,0.0,106.453125
sha512,16,0.0,106.453125
sha512,16,0.0,106.453125
sha512,16,0.0,106.453125
sha512,16,0.0,106.453125
sha512,32,0.0,106.46875
sha512,32,0.0,106.46875
sha512,32,0.0,106.46875
sha512,32,0.0,106.46875
sha512,32,0.0,106.46875
sha512,64,0.0,106.46875
sha512,64,0.0,106.46875
sha512,64,0.0,106.46875
sha512,64,0.0,106.46875
sha512,64,0.0,106.46875
sha512,128,0.0,106.46875
sha512,128,0.0,106.46875
sha512,128,51.0,106.46875
sha512,128,47.6,106.46875
sha512,128,40.2,106.46875
sha512,200,0.0,64.796875
sha512,200,0.0,64.796875
sha512,200,0.0,64.796875
sha512,200,42.0,64.796875
sha512,200,40.1,64.796875
sha512,512,49.8,52.921875
sha512,512,41.0,52.921875
sha512,512,58.3,52.921875
sha512,512,54.2,52.921875
sha512,512,0.0,52.921875
sha3_256,1,0.0,17.578125
sha3_256,1,0.0,17.578125
sha3_256,1,0.0,17.578125
sha3_256,1,0.0,17.578125
sha3_256,1,0.0,17.578125
sha3_256,2,0.0,17.578125
sha3_256,2,0.0,17.578125
sha3_256,2,0.0,17.578125
sha3_256,2,0.0,17.578125
sha3_256,2,0.0,17.578125
sha3_256,4,0.0,17.578125
sha3_256,4,0.0,17.578125
sha3_256,4,0.0,17.578125
sha3_256,4,0.0,17.578125
sha3_256,4,0.0,17.578125
sha3_256,8,0.0,15.546875
sha3_256,8,0.0,15.546875
sha3_256,8,0.0,15.546875
sha3_256,8,0.0,15.546875
sha3_256,8,0.0,15.546875
sha3_256,16,0.0,15.1875
sha3_256,16,0.0,15.1875
sha3_256,16,0.0,15.1875
sha3_256,16,43.2,15.1875
sha3_256,16,52.2,15.1875
sha3_256,32,0.0,15.1875
sha3_256,32,0.0,15.1875
sha3_256,32,0.0,15.1875
sha3_256,32,0.0,15.1875
sha3_256,32,0.0,15.1875
sha3_256,64,0.0,11.0
sha3_256,64,0.0,11.0
